,RIMR,RIVL,BWM-DR01,AIML,IL1R,ASJR,RID,BWM-DL03,PVCR,AINL,SAADL,PVNL,IL1VL,ALNR,AWCR,OLQDL,RMHR,SMBVR,IL1VR,IL1L,BWM-VR05,RIGR,RMGL,URAVR,AIZL,AVAR,ASGL,BWM-VR02,RIFL,AVDR,BWM-VR04,PVQL,URYDR,CEPDR,SMBDL,BWM-DR05,AVHR,URBR,IL2L,RIFR,CEPDL,ADLR,RMGR,SDQR,AIYR,SIAVR,BWM-VL06,BWM-VR07,RIML,SAADR,AFDR,BWM-VL01,ASIL,SIBDL,RIBL,BWM-DL02,URXL,SMDDL,RIPL,ASHL,BWM-VL07,SMDVL,HSNR,RMEL,AIMR,FLPR,AVFR,BWM-VL04,ADFL,AWAR,URYVL,RMDVL,RIPR,RMDVR,AIBL,SAAVL,ASEL,RICR,ADEL,RICL,BWM-VL08,RMDDR,AFDL,BWM-DL05,SAAVR,AWCL,BWM-VR06,RMHL,PVQR,AVDL,RIH,SIADL,OLQVR,URADL,IL2VL,AVL,BAGL,RIAR,RIBR,HSNL,AVM,IL1DR,ASKR,IL2DR,SIBDR,URYDL,AVAL,ASKL,AVHL,AIZR,ADFR,ASHR,AUAL,OLQDR,AIAL,PVPR,OLQVL,PLNR,RMED,CEPVR,RMEV,ALML,PVCL,BWM-DR06,BWM-DR02,AIYL,AWAL,SIADR,BDUR,ALA,URXR,ADAL,AWBR,AWBL,IL2R,BWM-DR04,BWM-DR08,RMDDL,ASER,SABVL,RIR,BWM-DR07,BWM-DL01,AUAR,BWM-VL02,RIVR,AIAR,BWM-VL03,AQR,ADLL,CANL,SMBVL,BAGR,SIBVL,AVKR,RMFL,SDQL,RMDL,RIS,IL2VR,RMFR,URAVL,DVA,BWM-DL07,PVT,URBL,SMDDR,ADAR,AINR,IL1DL,ASIR,URADR,SIAVL,BWM-VR03,FLPL,BWM-DL04,BWM-DL08,ALNL,BWM-VR01,URYVR,ASJL,RMER,ADER,PVNR,SMDVR,AIBR,BWM-VL05,RIAL,BDUL,RMDR,SIBVR,ASGR,unknownFLPR,BWM-VR08,SMBDR,IL2DL,DVC,RIGL,OLLL,OLLR,CEPVL,AVKL,PVPL,AVFL,PVR,BWM-DR03,PLNL,BWM-DL06,CANR,ALMR,AVER,AVBR,AVEL,AVJR,AVBL,AVJL
RIMR,0,211920,0,0,0,13680,0,0,960,267840,7524240,0,0,0,122640,0,0,541680,0,0,0,120000,66720,0,57600,2910240,0,0,0,399840,0,0,89040,0,0,0,0,231360,0,3681840,0,0,126960,196320,139680,370560,887040,0,1095600,5550000,12960,0,0,984240,982560,0,0,5551680,0,0,0,3380160,12240,0,0,68880,134160,527280,0,69840,0,0,0,0,6158160,5500080,0,754560,0,1024080,57840,0,0,0,4829520,0,0,180720,0,573120,0,141600,0,0,0,122160,12000,2340960,2317440,0,389040,0,1680,0,1485120,0,5259360,0,219840,5401920,176640,408960,0,0,0,93360,0,0,3120,0,319440,0,0,0,0,0,0,1908240,343200,0,0,170400,8400,0,0,0,0,0,25200,0,0,0,0,479280,0,789120,0,0,1680,0,0,0,0,729840,6197280,2933040,0,8470080,4188960,0,5673600,0,750480,0,0,0,1962960,5661360,0,0,86160,0,0,0,37680,655920,2400,488400,0,60720,0,0,0,0,4193760,686160,0,0,0,1830720,867120,0,0,0,398160,0,0,208800,13920,105600,0,3703680,4320,0,0,0,0,501120,0,0,1705200,2419200,543840,0,1613280,425760
RIVL,211920,0,0,0,0,0,422160,0,0,279840,0,0,0,172080,0,0,1515120,1145520,43920,244320,290400,623520,0,0,0,332880,0,0,0,0,372960,0,97440,22080,566160,0,0,0,113280,0,13680,0,596160,1616640,0,2259840,0,604080,1334160,3062880,0,0,0,720000,191760,0,0,101040,0,0,372000,5028720,0,0,0,0,0,0,0,0,0,992880,0,0,1539600,1187760,0,1199760,2114400,1210320,0,1218480,0,0,525120,0,303600,210240,0,669360,785520,0,0,0,0,40320,116880,568320,0,0,0,0,0,0,465360,64560,1109040,0,785760,0,0,0,396240,0,0,0,0,832080,26400,1200,0,0,2880,0,0,0,0,48000,0,0,0,717600,0,0,0,0,0,0,0,0,546000,0,0,0,0,4104960,0,720,62640,0,0,0,102240,0,137040,940560,71760,1375920,822000,0,1136880,0,0,8160,0,52320,3890400,241440,112080,0,0,0,0,90480,62880,0,0,0,0,14640,0,0,0,0,312480,0,75360,1412640,0,0,0,0,0,76320,1174080,0,1109520,0,61440,0,0,1907520,0,0,1203840,0,0,0,0,0,112320,717360,109440,0,191280,76800
BWM-DR01,0,0,0,0,20880,0,0,714480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54960,643920,802080,417600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70560,102240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178560,0,0,0,0,0,0,0,0,0,0,353040,0,352080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36240,0,619920,0,0,11280,3316080,0,0,0,0,0,0,0,0,0,0,212400,0,600720,0,0,0,16320,881760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1982880,0,0,0,0,0,0,0,0,0,47040,0,0,58080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9463920,0,0,0,0,0,0,0,0,0,0
AIML,0,0,0,0,0,309600,0,0,0,0,0,0,0,0,0,172800,0,0,0,0,0,0,2964480,0,672480,0,5657040,0,2136720,19680,0,1292640,0,0,0,0,410880,0,0,0,30240,0,0,0,0,0,0,0,0,0,0,0,16080,0,0,0,3723840,0,0,330240,0,0,561120,0,366240,0,4435440,0,656400,0,0,0,0,0,0,0,0,0,0,984000,0,0,0,0,0,35040,0,0,0,276960,0,0,0,23280,0,0,0,0,0,103920,0,0,0,0,167760,62640,0,1364640,87360,0,0,0,20880,0,2955840,0,0,0,0,0,0,1702800,5280,0,0,1378800,113040,0,157200,9120,0,102240,0,895920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,693600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168240,0,0,53760,0,0,225360,0,0,0,0,0,0,0,5037840,0,0,649680,0,0,0,0,165600,0,64560,0,0,0,0,0,0,237840,0,0,805920,39840,0,1836480,0,0,0,0,0,0,91680,381600,117840,64320,313440,211440
IL1R,0,0,20880,0,0,49440,0,0,0,6480,0,0,0,0,38400,0,0,135840,1164720,0,0,0,0,1125600,0,126000,0,337920,0,0,69120,0,0,50880,0,0,0,1492080,0,0,0,52080,266880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4581360,0,0,126240,0,0,0,0,1055040,0,2473680,0,0,182160,0,0,0,0,3089040,0,0,339840,59040,0,709680,0,0,0,0,572640,0,0,0,0,633840,0,0,0,1209120,0,0,34560,0,0,0,0,0,0,0,0,0,0,0,0,0,52560,13680,547440,0,0,0,657840,0,0,0,0,14640,126480,0,0,0,2393040,72480,0,981600,0,0,0,0,0,0,0,84240,0,0,0,0,0,0,197040,0,0,54720,0,793440,0,0,0,0,0,0,0,0,0,0,0,0,120720,698640,0,0,0,0,0,0,30480,0,0,268800,2559600,9360,118080,0,0,164400,0,1093680,0,0,54960,0,0,0,0,0,0,1998000,0,0,0,0,0,0,0,0,0,0,289920,0,249840,0,0,0
ASJR,13680,0,0,309600,49440,0,0,0,0,0,0,0,0,0,48720,0,0,513360,0,0,0,0,0,0,0,0,0,0,0,25680,0,0,21840,0,40560,0,40800,90480,0,35280,0,1200,655920,0,0,0,0,0,0,0,0,0,0,21840,0,0,0,4080,0,0,0,0,1750800,0,5707200,0,2067120,0,0,208320,0,0,0,0,0,10800,0,0,0,0,0,0,0,0,0,0,0,0,6699840,0,0,24000,0,0,0,0,0,0,46080,623520,0,4560,3647760,0,0,0,0,0,0,0,0,60720,0,27120,0,0,0,0,0,325920,0,0,0,0,0,0,0,0,29280,1616880,0,0,127200,0,136800,0,0,0,869760,0,0,0,0,0,0,0,786960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241440,0,130320,0,0,0,0,0,0,0,0,0,606000,0,70800,11760,0,14160,0,0,0,0,0,278400,610800,0,0,0,0,0,0,57120,0,0,0,607680,0,0,0,0,0,0,0,0,0,3840,0,0
RID,0,422160,0,0,0,0,0,0,0,4054320,246960,13680,0,0,0,78960,0,0,0,83520,0,441840,496320,0,167040,0,101520,0,0,4142640,0,8160,0,0,569520,0,0,0,4560,0,0,0,0,0,0,0,0,0,406080,60480,580560,0,0,861600,695520,0,0,0,5520,1040640,0,201600,0,0,0,0,455040,0,0,0,257280,6720,0,0,0,556080,7680,743520,0,869520,0,0,617280,0,367440,52080,0,398880,0,1810560,0,518400,0,0,0,0,1817520,0,925920,234720,2462640,0,0,0,204000,158640,1496640,0,0,0,0,0,113760,0,0,0,115680,0,867360,0,306480,803760,2989200,0,0,0,0,0,0,0,0,239280,0,0,0,0,0,0,3840,0,0,0,0,0,0,179280,0,0,450480,0,0,280320,3284640,1055520,0,0,669120,0,0,0,0,0,4705440,0,1680,661680,0,0,4401120,0,15600,0,2424720,0,0,0,0,0,0,0,0,0,0,440880,105600,315600,303360,0,1037520,0,3006000,0,0,0,0,0,318480,2517360,7680,0,547680,0,26160,508080,188880,0,98880,0,0,0,0,2646960,66240,1121520,835920,0
BWM-DL03,0,0,714480,0,0,0,0,0,0,0,0,0,0,0,0,7920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,791280,0,0,0,0,507360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128400,0,0,4560,0,0,64320,0,2880,0,0,0,0,0,0,0,111120,0,0,0,0,0,0,0,0,0,1885680,0,10921680,0,0,0,0,0,0,0,0,0,1051200,0,0,0,0,0,0,0,0,0,0,0,165840,0,0,0,0,0,0,0,0,0,0,0,0,105840,0,839520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258000,0,0,0,1680,13914720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971520,0,0,286800,0,0,264000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14640,0,0,0,0,0,0,0,0,0,757440,0,0,0,0,0,0,0,0,0,0,1568640,0,0,0,0,0,0,0,0,0,0
PVCR,960,0,0,0,0,0,0,0,0,0,0,364800,0,0,0,0,0,258000,0,0,0,0,0,0,0,1878000,0,0,0,461760,0,0,0,0,0,0,51360,181200,0,90480,0,167520,25920,0,21360,1076880,0,0,0,0,0,0,0,244080,0,0,0,0,0,0,0,30960,0,0,0,506160,0,0,0,0,0,0,0,241200,0,0,0,278640,0,0,0,0,0,0,0,0,0,0,0,2011440,0,0,0,0,0,0,0,0,0,0,2450640,0,0,0,846960,0,137520,0,827280,0,0,0,0,0,0,2660880,0,0,0,20640,0,0,1732800,0,0,0,0,0,240480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167280,0,0,3269520,0,0,0,0,1152960,160800,0,0,0,34080,0,0,0,3464160,0,0,0,0,1440,0,0,0,0,0,0,705840,0,0,0,0,2880,0,0,0,170880,0,0,0,0,302400,0,1297680,0,0,0,34320,0,0,0,0,0,0,0,0,0,76800,0,0,0,0,1430880,88560,5127120,514800,437040,5020320,2104080
AINL,267840,279840,0,0,6480,0,4054320,0,0,0,0,0,0,0,152880,97920,0,0,0,0,0,0,0,0,0,123840,455520,0,0,0,0,0,43920,33120,0,0,0,0,0,0,83760,0,0,0,1292400,0,0,0,0,0,6994320,0,136560,0,1256160,0,461760,0,0,0,0,135840,0,0,0,0,0,0,0,0,0,0,0,0,1037040,12720,2455200,0,1107600,0,0,0,2293440,0,19680,607440,0,0,0,682320,203760,0,0,10080,0,0,3313920,292800,2990160,0,0,91200,0,60240,391440,97920,0,303360,814080,0,0,0,1232880,167040,637920,0,0,0,0,310320,52560,438240,0,0,0,667200,0,302640,0,0,546960,0,24720,0,42240,0,0,0,0,0,0,0,0,5303760,0,365040,30000,0,0,0,0,0,0,0,0,81360,70320,0,0,0,0,0,0,0,0,0,186960,0,2925840,55680,7920,20160,0,0,0,0,0,15360,0,0,51600,0,0,0,57840,160320,0,0,0,0,0,0,0,0,19200,31680,0,1440,0,80160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1244160
SAADL,7524240,0,0,0,0,0,246960,0,0,0,41040,0,0,350640,0,0,33120,16560,0,0,0,697920,692160,0,0,547920,0,0,0,2400,0,0,0,0,1940400,0,208320,213840,0,0,0,0,1176960,1767360,0,0,135120,0,4705680,3396000,0,0,0,490560,0,0,0,1093680,0,0,25920,300480,0,0,0,0,0,0,0,0,88320,0,0,342000,420240,67440,0,0,568320,79200,16560,0,0,0,861840,0,0,176880,0,0,471600,1297680,0,0,0,0,0,0,497040,0,0,0,0,0,0,0,710400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167760,0,0,0,0,25440,0,0,0,400560,0,0,0,0,0,1932000,0,0,0,0,0,0,0,2581680,0,0,0,0,0,6297600,0,190320,2243520,4217760,129360,35760,0,0,2482800,0,0,0,0,0,0,0,13440,0,0,0,180000,0,0,0,0,274800,0,0,0,0,1515120,139920,3637680,1023600,0,571920,31680,0,441120,0,9360,0,98400,0,0,3323040,0,616320,0,305520,289200,160800,0,0,2745600,0,0,69360,262560,0,165120,0,0,0
PVNL,0,0,0,0,0,0,13680,0,364800,0,0,0,0,0,0,0,0,960,0,0,0,0,286560,0,0,0,0,0,1015680,12000,0,168960,0,41040,0,0,0,0,0,90480,33360,0,1878240,346080,0,80640,0,0,466560,480,0,0,0,0,0,0,0,0,0,5040,0,0,185520,0,28080,111360,1863600,0,0,0,0,0,0,0,0,0,0,48960,0,0,0,0,0,0,0,0,0,0,1429200,247200,0,0,0,24480,0,0,0,0,0,1124400,1835520,40560,0,0,0,0,0,164880,2640,0,0,0,0,0,0,0,0,1680,0,260880,0,697440,0,210000,0,0,0,0,2091120,0,0,0,0,0,0,25920,0,0,0,0,0,0,0,0,0,0,2880,0,0,0,0,0,0,786480,0,0,722640,114000,183120,0,0,0,0,0,0,0,0,0,0,71040,0,13680,0,0,237600,0,0,0,0,0,0,0,0,7460640,0,0,0,0,3326400,0,8640,1680,0,0,0,480,0,0,0,0,3600,0,0,469200,2040480,0,0,8160,0,1176480,0,203040,0,1558800,548880,1313760
IL1VL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1391280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29280,0,0,0,324000,0,0,0,0,3120,0,0,0,0,7200,0,0,244800,0,119520,0,0,0,0,2480640,0,0,0,0,3026880,0,0,0,42480,0,0,5221440,0,0,270000,0,0,0,110880,0,179760,0,0,0,0,0,0,0,243840,0,0,346080,47760,0,10080,1884480,53040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3125520,0,18480,0,753600,0,0,0,0,0,0,0,0,0,0,210480,0,0,0,0,0,8561520,0,0,0,0,0,0,853920,43200,0,0,181680,0,0,0,0,112080,0,0,0,0,0,0,40560,789360,0,0,196800,0,0,0,0,88320,0,0,92400,0,0,0,0,0,0,0,0,53760,0,0,0,143280,0,224400,0,0,40080,0,0,0,0,0,44640,129360,1564800,0,1639680,0,0,0,549600,0,2160,0,0,0,48240,0,0,0,0,0
ALNR,0,172080,0,0,0,0,0,0,0,0,350640,0,0,0,0,0,0,65280,0,0,0,18720,0,0,0,0,0,0,0,0,0,0,0,151200,1602960,0,137520,123120,0,0,0,0,2099520,0,0,0,0,0,179760,30960,0,0,0,696000,0,0,0,2001840,0,0,0,423360,0,0,0,0,5280,0,0,0,0,0,0,0,8400,0,0,0,0,0,0,0,0,0,2247360,0,0,1170240,0,0,0,792960,0,0,0,0,0,66720,0,0,0,0,0,0,0,0,295200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17280,0,0,0,0,0,0,0,0,0,0,0,61440,9840,334320,0,0,0,0,0,0,0,572640,0,0,0,0,0,0,0,0,0,61200,0,285360,0,0,0,0,0,0,0,0,90960,0,5520,0,0,0,0,0,0,0,0,0,0,0,0,0,1787040,0,7920,0,0,0,0,0,0,0,19680,0,0,0,0,0,0,187200,0,148560,0,0,0,0,0,0,0,42240,0,0,0,0,0,0
AWCR,122640,0,0,0,38400,48720,0,0,0,152880,0,0,0,0,0,87600,0,0,0,0,0,0,0,0,1457520,0,421440,0,0,5280,0,0,74640,0,0,0,1920,0,11760,0,1200,2848080,0,0,1772160,0,0,0,0,0,1202160,0,5858400,0,0,0,0,0,0,0,0,0,0,0,31440,0,0,0,14160,35520,0,0,0,0,1469040,0,294000,0,0,0,0,0,570720,0,0,11243520,0,0,0,0,0,0,0,0,0,0,740400,0,316080,6000,0,59280,89040,158640,246240,67680,0,0,0,722160,0,0,0,138960,2359440,0,0,0,0,92400,0,0,0,0,0,1075680,0,0,0,0,0,0,336480,0,56880,0,0,0,4632480,0,0,0,0,221280,0,0,3828000,0,0,858480,0,0,2648640,0,0,42240,0,0,0,0,0,0,0,0,0,0,0,0,882720,61440,6886800,10560,0,0,0,0,0,0,0,0,0,0,0,0,0,5151120,0,3840,0,0,0,3033840,0,0,0,70320,0,0,121680,29280,208560,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,0
OLQDL,0,0,0,172800,0,0,78960,7920,0,97920,0,0,0,0,87600,0,0,0,0,0,0,0,960,0,0,0,0,0,5520,70800,0,0,0,0,0,0,0,0,2215440,0,2502480,0,0,0,0,0,0,0,0,0,0,0,61920,0,564240,0,6960,0,1025760,0,0,102720,0,2924640,0,0,11520,0,0,0,0,343440,0,0,0,0,0,763920,0,323760,0,2000400,0,0,0,91680,0,1028160,0,0,8040720,0,0,513840,0,158640,127440,0,0,0,0,0,0,0,0,3919680,0,0,45600,0,0,0,25200,0,11520,0,0,0,365040,0,482400,0,0,0,0,0,0,157680,0,109920,0,111120,0,0,0,0,0,888960,29280,0,0,0,0,0,0,0,0,0,0,75600,0,0,140880,1379760,0,0,0,2640,163440,0,111600,0,0,0,71040,332160,0,0,158880,3072240,0,0,0,0,0,0,0,0,0,0,90480,0,0,0,0,0,0,0,0,0,0,0,0,0,1797120,1882800,90240,275280,493920,0,0,0,0,9600,0,0,0,0,0,0,224400,0,0,0,80880,64560
RMHR,0,1515120,0,0,0,0,0,0,0,0,33120,0,0,0,0,0,0,17760,90480,924480,0,0,3221520,86880,0,846720,0,0,0,0,0,0,0,65280,0,0,0,33600,12960,0,532080,0,1110480,990480,0,632160,0,0,0,450000,0,0,0,502080,0,359040,170160,1267920,0,0,0,915840,0,0,0,0,0,169440,0,0,0,320400,0,592080,657840,257040,0,5219280,1455600,2918400,0,1263840,0,0,0,0,0,1710240,0,0,44880,0,366720,0,0,0,0,2160,0,0,0,0,0,203760,1025280,0,1515600,0,0,0,0,0,0,790560,0,0,0,584400,0,565200,0,0,166080,0,0,0,0,175200,0,0,3840,6000,0,0,0,0,0,733680,0,0,0,0,0,0,506640,153840,0,0,0,0,0,48000,0,456720,536640,40080,0,1985520,0,202320,4590720,0,1200,0,0,2611200,2209440,123600,0,0,0,78960,311280,0,0,186240,0,1247040,0,0,0,7680,0,0,835680,0,0,0,0,2457840,32640,0,0,0,816000,0,0,1698480,124560,0,261840,30960,0,0,0,0,670560,0,0,0,35280,0,0,0,652800,0
SMBVR,541680,1145520,0,0,135840,513360,0,0,258000,0,16560,960,0,65280,0,0,17760,78240,49680,0,628560,1016160,0,0,797520,215280,0,35280,0,0,606000,0,0,0,273840,0,0,424800,0,179040,0,2631120,1761360,0,300480,4207920,0,216000,0,4712160,0,0,0,0,0,0,0,0,0,0,0,1518960,115920,0,299520,24960,700800,0,0,177840,0,2103600,0,0,3360,1119840,0,1506720,327600,143520,0,0,0,0,0,0,65760,451200,1440,504480,86880,0,1019040,0,0,838320,0,1298400,0,214080,0,0,0,0,3395280,0,52560,0,1507440,4348800,3198000,1173600,0,0,0,519120,0,3287520,0,1577760,441600,0,145440,0,0,0,0,1650480,0,80400,960,0,1480560,0,377520,0,0,168960,41040,0,62400,0,0,0,0,0,272160,0,72240,0,0,186960,0,132720,2069520,52800,0,776160,5892000,89040,2014320,0,1265040,0,18960,0,0,797280,0,0,0,0,0,316800,29760,0,0,0,482640,0,0,0,189360,0,0,0,0,42960,0,13200,912720,650640,104640,464880,11514240,0,4800,682560,0,379680,0,1734720,0,234960,41280,0,0,0,0,0,103440,708720,97680,0,0,578880
IL1VR,0,43920,0,0,1164720,0,0,0,0,0,0,0,0,0,0,0,90480,49680,0,0,0,103680,0,636720,0,0,0,511920,0,0,48480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186240,2330640,0,237840,0,0,150240,0,183360,0,6813360,0,0,0,0,0,0,0,0,477600,0,3005520,0,0,0,0,1440,0,0,0,41760,0,0,58320,0,14160,0,0,0,0,0,0,0,0,0,0,0,99840,1818720,564000,0,0,0,0,0,0,104880,0,0,367200,0,0,0,87840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22320,18480,0,0,0,2253840,0,0,79200,0,203040,0,0,97200,0,0,0,0,0,214080,0,0,0,0,851040,4387920,0,2481360,0,0,0,0,0,0,0,0,90000,0,0,0,5760,0,72240,0,43200,1662720,0,0,0,0,447120,0,0,0,0,0,0,0,0,0,0,0
IL1L,0,244320,0,0,0,0,83520,0,0,0,0,0,1391280,0,0,0,924480,0,0,0,0,0,260160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1474800,0,146640,0,0,0,0,0,36480,0,0,234960,0,0,101040,119760,290880,552960,188400,0,0,0,0,361680,0,122880,0,0,0,107520,0,0,0,3081360,0,1321920,0,104640,0,0,1132320,0,0,709200,0,0,0,59040,0,0,0,4080,0,0,0,604080,0,0,114000,199440,0,0,0,0,0,0,0,0,0,14400,0,0,0,0,0,0,0,0,6720,0,24240,0,290640,189600,0,0,0,0,0,0,0,1200,0,0,0,0,0,0,0,3486480,0,0,0,0,0,0,948240,0,0,0,0,10800,0,114480,0,0,0,0,271920,1306320,0,0,325200,586800,0,0,0,1874160,0,0,57600,819840,0,0,0,0,0,55920,0,0,0,0,164400,5650320,0,0,0,0,0,818160,14640,1083600,14640,0,0,0,0,0,0,0,2504400,0,0,0,0,170400,960,0,0,0,0,0,476160,0,214560,0,0,0
BWM-VR05,0,290400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,628560,0,0,0,0,0,21600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6419520,0,1920,0,0,0,0,0,0,0,0,0,0,32160,364320,0,30480,0,0,0,0,0,0,0,2233920,0,449040,0,0,0,0,0,0,0,183120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136320,0,0,0,0,0,0,0,0,0,0,0,0,0,579600,1239120,264240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30000,0,0,0,0,0,0,14056080,0,0,0,0,250560,190800,0,0,0,0,0,0,656400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,0,0,0,0,0,0,0,0,0,0,0
RIGR,120000,623520,0,0,0,0,441840,0,0,0,697920,0,0,18720,0,0,0,1016160,103680,0,0,0,0,24240,170400,36720,0,0,0,5520,0,0,486480,0,0,0,0,52080,0,0,0,10320,2160,0,0,0,0,0,748800,1748400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12720,0,0,0,0,3919440,1587840,0,0,2388480,0,0,0,0,0,0,0,0,1056960,0,1243680,890640,0,504000,0,0,1707840,2959200,868320,900720,0,0,43200,0,62880,0,0,532800,0,150720,2714640,316320,0,0,201840,0,344640,0,0,730800,0,199200,0,0,0,0,0,0,645840,0,0,2550480,0,211920,0,0,0,0,0,0,0,2248560,0,0,104160,0,0,0,0,421440,0,0,0,0,0,562800,2096640,0,0,522720,118560,4918080,0,7680,0,3022560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1074960,0,608880,1744080,0,0,0,0,0,0,0,431040,0,0,0,1260480,0,6614640,1622880,0,716160,0,2364240,0,0,0,0,0,0,0,0,580080,0,550560,0,280800,0
RMGL,66720,0,0,2964480,0,0,496320,0,0,0,692160,286560,0,0,0,960,3221520,0,0,260160,0,0,0,0,0,47280,61440,0,1632240,525600,0,1651440,0,0,1350480,0,0,0,512880,0,1321440,0,0,0,0,0,473040,0,391680,1106160,0,0,0,700320,0,0,2492160,526800,0,1716720,0,0,343680,0,0,0,2680560,870960,0,0,0,1407360,0,209520,0,739680,22560,390240,97920,1902480,858720,361440,0,0,846960,0,0,3021600,0,0,0,578640,0,0,0,0,0,160080,0,755040,11760,0,0,0,567360,0,1605360,143760,0,0,0,0,0,0,549600,0,0,0,0,0,480,1053120,0,0,0,46560,0,454080,0,0,0,1179840,0,487920,0,0,0,0,0,0,72960,0,0,0,0,1104000,0,0,480,42720,0,1028880,0,1888080,210000,0,77280,3031920,281760,0,3256320,0,241200,0,3360,260880,485040,0,0,0,0,0,685920,0,0,925440,1586640,1848000,0,0,104400,0,0,779040,785520,870240,0,5040,325920,4374720,713520,0,0,0,519600,0,0,296880,235200,0,201600,416880,0,3819840,0,0,2952720,1386960,0,0,0,92160,921360,460080,770400,0
URAVR,0,0,0,0,1125600,0,0,0,0,0,0,0,0,0,0,0,86880,0,636720,0,21600,24240,0,0,0,0,0,2120400,0,0,246960,0,0,0,0,0,0,4800,0,0,0,0,0,0,0,96720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1904640,0,0,0,0,0,0,0,7440,3526080,0,230400,0,0,0,0,8400,0,0,0,0,0,0,0,0,0,0,567840,0,374160,0,0,0,48960,10560,166800,0,0,0,0,0,98880,0,0,0,0,0,0,0,0,0,0,0,0,0,1400400,432720,499440,0,0,0,27120,0,0,76320,0,0,150960,0,0,0,986880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52560,0,0,0,0,0,2200560,0,0,94800,0,264240,0,0,109680,0,0,0,0,0,884160,0,0,0,0,2053920,1050480,0,262560,0,0,0,0,0,0,0,0,38400,0,0,0,480,0,198720,0,0,0,0,0,0,0,20880,0,0,0,0,0,0,0,0,0,0,0
AIZL,57600,0,0,672480,0,0,167040,0,0,0,0,0,0,0,1457520,0,0,797520,0,0,0,170400,0,0,0,258720,882480,0,44160,86160,0,0,0,0,3181200,0,0,0,0,4320,0,0,0,0,5760,0,0,0,6137520,0,0,0,0,312480,3899760,0,496560,0,0,687600,0,0,35760,0,0,0,0,0,7089840,0,6000,0,0,0,1764480,0,729120,0,0,779040,0,0,1251600,0,0,445920,0,0,0,281520,4498080,1113840,0,0,0,0,25680,748320,36240,0,0,0,0,0,439200,2400,0,0,0,1207200,54720,8160,966480,0,3150000,76800,0,0,7440,0,5280,0,0,0,0,6198960,3878880,0,0,0,0,12720,0,3439200,0,0,0,0,1130880,0,2022240,0,0,45120,0,0,0,0,311520,960,0,6280320,781920,0,276480,0,0,0,0,0,0,0,3254880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26640,0,0,4560240,0,5547360,0,0,438000,0,0,0,96720,0,640080,2868480,0,0,0,960,0,0,0,0,0,0,0,0,2785440,0,3740400,0,829680,0
