,RMGR,AIYR,AIYL,RMEV,AIZL,AIZR,RIAR,RIAL,RIBL,RIH,SAADL,ASGR,AVL,RIR,RIVR,ADFL,RIVL,ADFR,SMBVR,SMBVL,AIAR,PVT,DVC,AVKL,AVKR,ASIR,FLPL,AWAR,AIMR,AIBL,BDUR,SIAVR,SIAVL,BWM-VR07,ASHL,SMDDR,PVQR,RIFR,DVA,PVCR,AWAL,AIAL,BWM-VL07,BWM-VR03,BWM-VR01,BWM-VR02,BWM-VR04,BWM-VL01,BWM-VL04,BWM-VL06,BWM-VL02,BWM-VL08,BWM-VR08,BWM-VR06,BWM-VR05,ASJL,PVQL,AIML,ASGL,RMGL,BDUL,AVBR,BWM-VL03,BWM-VL05,PVCL,AUAL,PVPL,ADLL,AWCR,URBL,AVAL,ALML,AINL,ADLR,AVER,AVEL,SIBDR,RIMR,RIML,RIGL,AVHL,AVJL,SMBDR,SAAVL,ASJR,URBR,ASKL,SMBDL,AVHR,AVJR,BWM-DL06,URYVR,ASER,URXR,BWM-DL07,BWM-DL05,BWM-DL02,BWM-DL04,BWM-DL08,ALA,BWM-DR08,BWM-DR03,BWM-DR07,BWM-DR01,BWM-DL01,BWM-DR05,BWM-DL03,RIS,AVAR,AWCL,RIBR,OLQDR,BWM-DR06,BWM-DR02,BWM-DR04,SIADL,RMEL,URYDR,URYDL,IL2DR,OLQDL,SMDDL,SMDVR,IL2R,IL1L,IL1DL,IL2DL,URADL,IL1VR,IL1DR,RIPL,URADR,URAVR,OLQVR,IL2VR,URAVL,IL1VL,IL2VL,OLQVL,IL1R,OLLL,OLLR,IL2L,RMED,RMER,CEPDL,URYVL,RIPR,URXL,CEPDR,RMDVL,RMDVR,RMDR,RMDL,SIADR,SIBDL,ALMR,AINR,SIBVL,BAGL,BAGR,CEPVR,CEPVL,SIBVR,RID,RICR,RICL,AVDL,AVDR,RIFL,AUAR,ASIL,PVR,AIBR,ASHR,ADAR,AVBL,RIGR,ADAL,AFDR,ASEL,AWBL,AWBR,PVPR,RMDDR,SAADR,SAAVR,ADEL,ADER,SMDVL,RMDDL,AFDL,ASKR,FLPR,CANR,CANL,DB1,excgl,excduct,SABD
DVA,149248,0,0,0,786176,705280,0,4096,6144,142848,0,0,0,1302528,28160,119296,17664,28928,39936,1280,0,0,0,0,0,0,164864,58112,0,151040,132096,1340416,1616640,0,24576,0,11520,0,0,208128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23552,0,255744,166656,757248,0,0,27904,167168,1088768,0,0,0,222208,0,0,0,259328,385280,155904,16128,94976,55808,640768,105472,210944,66304,0,101888,0,351744,486400,0,0,42496,0,219392,0,0,0,0,0,0,0,0,0,0,0,0,0,19456,51456,0,93952,0,0,0,0,416000,0,91904,85504,0,0,0,331008,0,0,0,0,0,37632,0,0,0,54784,43520,15360,91904,52224,33792,0,0,0,0,0,0,0,0,64000,0,195840,0,44544,86784,0,0,455168,183552,23040,0,1654784,153600,125696,0,0,1715200,483584,417792,683520,764160,635136,0,90112,0,362496,298496,7424,753664,1043456,0,846592,0,0,0,0,1608448,0,768,74240,0,0,646656,0,0,0,7680,0,0,73728,150016,0,73984
PVCR,0,200192,5632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14848,0,42240,0,0,0,0,0,14336,0,38656,0,400384,320000,0,0,0,0,0,140288,208128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,756480,0,0,410880,0,0,0,0,0,0,0,0,135936,0,210432,0,259072,0,0,523520,1295360,167680,0,0,0,0,0,0,133120,0,48640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52736,31232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279040,0,24320,0,0,33792,0,102656,0,0,0,521216,0,0,0,0,11776,0,162304,14592,755712,0,0,0,0,0,27648,321280,0,0,0,0,0,0,0,0,0,210688,0,0,0,0,0,0
AWAL,0,0,404992,0,473088,0,0,0,256,0,0,0,0,0,0,916992,0,0,0,29184,0,0,0,0,0,0,0,98816,0,112640,0,0,1792,0,1527296,0,216320,0,0,0,0,399104,0,0,0,0,0,0,0,0,0,0,0,0,0,111616,289280,126464,132864,311040,0,0,0,0,14336,0,1024,570880,67072,0,0,32000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40704,0,0,0,0,0,210944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5120,0,0,0,0,107264,0,204032,0,0,0,0,109824,0,7168,0,2182912,1552384,119552,0,0,0,0,0,0,0,0,38912,0,0,0,0,0,0,0,0
AIAL,0,0,195840,0,814080,0,0,0,0,0,0,0,0,0,0,193792,0,0,0,120832,165376,0,0,0,0,8192,0,76288,0,2776064,0,0,0,0,531968,0,45056,0,0,0,399104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900096,485888,1230592,1483264,3072,0,0,0,0,1280,0,0,236032,867072,0,1024,0,44544,0,0,0,0,0,0,0,0,0,0,0,0,0,1988352,0,0,0,0,0,224000,0,0,0,0,0,0,2048,0,0,0,0,0,0,0,0,0,1536512,0,0,0,0,0,0,0,0,0,0,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26112,0,0,0,0,0,0,0,0,65024,0,0,0,0,0,0,4352,0,4608,0,3840,227584,0,938496,0,0,0,0,0,0,54784,0,508672,310784,24064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44544,0,0
BWM-VL07,0,0,0,0,0,0,2816,0,0,0,0,0,0,0,0,0,0,0,0,125440,0,0,0,0,0,0,0,0,0,0,0,0,23808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99584,0,0,0,0,0,0,0,0,0,0,81664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWM-VR03,0,0,0,136960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42496,0,0,0,0,0,0,0,0,0,0,0,5632,0,0,199168,0,0,0,0,0,0,0,0,0,0,1951744,0,0,48128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275968,851968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12288,0,0,0,0,0,0,886528,199936,0,0,0,0,0,0,0,0,0,265728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81408,0,0,0,0,255488,0,0,0,0,0,0,0,0,0,0
BWM-VR01,0,0,0,58112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77568,0,0,0,0,0,0,0,1951744,0,298752,0,506112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24576,76032,0,0,0,0,0,116480,0,0,0,1007616,0,82944,0,0,0,0,0,0,0,0,84736,5120,0,0,166656,0,0,516352,167168,0,0,0,0,0,0,0,0,0,50944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110592,0,0,0,0,66816,0,0,0,0,0,0,0,0,0,0
BWM-VR02,14592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298752,0,1848064,0,0,0,0,0,1280,161024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,924672,0,0,601856,0,0,0,0,0,0,2816,0,0,0,0,96000,0,0,0,691200,0,74752,0,0,0,0,444160,0,15872,0,0,35328,0,0,76288,0,0,738816,0,237824,112128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWM-VR04,239360,0,0,0,0,0,0,4864,0,0,0,0,0,0,0,0,0,0,79360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1848064,0,0,0,0,0,0,303104,796160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194048,0,0,0,0,0,0,370688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32000,1024,335360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60928,738816,0,481280,250368,0,0,0,0,0,0,0,131328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7936,6912,0,0,0,15872,0,0,0,0,0,0,0,0,0,0
BWM-VL01,0,0,0,81152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48128,506112,0,0,0,0,0,244480,0,0,0,0,0,0,0,0,0,0,0,1845760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9728,0,0,0,0,41472,19968,0,0,0,0,0,0,0,187904,0,0,0,0,1075968,92672,123392,0,0,0,0,0,226560,76800,0,40704,0,0,0,106496,298496,0,0,0,0,0,0,0,0,0,0,145152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109312,0,0,0,0,0,0,0,0,0
BWM-VL04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,974592,2470912,348416,0,0,0,0,0,0,0,180224,0,0,0,0,0,0,0,0,0,459520,0,0,0,0,0,0,0,45824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44800,666624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1027584,310528,473856,0,72704,0,0,0,0,0,0,546048,0,0,0,2816,0,0,0,0,0,17664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWM-VL06,0,0,0,0,0,0,0,0,0,0,512,0,0,0,0,0,0,0,0,32768,0,0,0,0,0,0,0,0,0,0,0,0,3840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,974592,0,0,363008,0,0,0,0,0,0,0,482304,0,0,0,0,0,0,0,0,0,10496,0,0,0,0,0,0,0,131584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21504,2304,92416,0,8448,0,0,0,0,0,0,173312,0,0,0,0,0,0,0,0,0,14336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWM-VL02,0,0,0,2048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244480,2470912,0,0,0,0,0,0,0,0,0,0,7680,0,0,0,0,0,0,0,0,0,373504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,697856,280576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19200,0,0,0,0,0,0,0,484352,0,0,0,0,0,50176,0,0,0,0,609536,15872,0,0,0,0,0,512,0,873984,0,0,0,0,0,0,659456,105984,97536,0,0,0,0,0,0,0,0,2304,0,0,0,0,0,0,0,0,0,17664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233984,0,0,0,0,0,0,0,0,0
BWM-VL08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61696,0,0,0,0,0,0,0,0,0,0,0,0,38912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348416,363008,0,0,0,0,0,0,0,0,0,212224,0,0,0,0,0,0,0,0,0,5888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7168,181760,0,26624,0,0,0,0,0,0,246016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWM-VR08,24832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74752,0,0,0,0,0,0,0,0,0,0,0,0,12544,0,0,0,0,0,0,0,0,0,0,0,0,0,1280,303104,0,0,0,0,0,0,366080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35328,0,0,0,0,0,0,0,0,32768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58880,25344,0,0,0,0,0,0,0,547328,0,0,0,0,0,0,0,0,0,0,4608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWM-VR06,274688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161024,796160,0,0,0,0,0,366080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45568,0,114432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6656,0,165120,129792,0,0,0,0,0,0,0,27904,0,0,0,0,0,0,0,0,0,0,16128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWM-VR05,0,0,0,71424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221184,0,0,0,0,0,0,0,0,0,0,328448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51712,0,0,0,0,0,0,0,0,0
ASJL,0,0,0,0,0,0,0,0,15616,0,0,0,0,0,0,0,0,0,0,103936,0,0,0,0,0,0,0,0,31488,0,0,0,0,0,18176,18688,186624,0,0,0,111616,900096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2701056,1575680,122624,302336,0,0,0,0,0,10496,0,11520,0,0,0,15360,0,0,0,64768,32256,0,0,0,3072,1024,2304,0,479744,0,1472768,0,0,0,0,0,0,0,0,0,0,0,0,239616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35328,0,75008,0,0,0,86528,20992,19968,0,0,0,0,0,0,0,0,0,0,0,0,0,39680,0,52224,0,0,0,0,0,66816,0,0,0,0,0,44032,0,0,0,0,0,0,0,37632,0,0,0,0,40448,0,103680,0,172288,0,0,0,0,0,0,0,0,259840,144128,0,0,0,0,38400,0,0,0,0,0,0,0,0,0,0,0,0,0
PVQL,0,0,9984,0,0,0,0,0,0,0,0,0,0,0,0,9984,0,0,0,52992,0,0,0,0,8960,0,0,0,0,329984,0,0,0,0,276736,0,0,0,0,0,289280,485888,0,0,0,0,0,0,0,0,0,0,0,0,0,2701056,0,1102080,0,1398016,176640,0,0,0,0,0,0,320000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2241792,0,0,0,0,0,0,0,0,0,0,0,0,621568,0,0,0,0,0,0,0,0,58624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23040,0,0,0,0,0,135168,0,0,0,0,0,13824,0,0,0,0,0,0,0,80640,130560,0,0,0,0,106240,452352,0,0,0,0,0,0,0,0,116736,0,334080,0,0,0,0,0,0,44032,46336,0,0,0,0,0,0,9472,0,72704,0,0
AIML,0,0,52992,0,44544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305408,0,0,0,0,0,0,0,0,196352,18176,0,0,0,0,341504,30464,124416,26880,23552,0,126464,1230592,0,0,0,0,0,0,0,0,0,0,0,0,0,1575680,1102080,0,1096192,448768,26624,0,0,0,0,0,0,0,0,0,0,250624,0,0,0,141056,43264,0,0,0,103936,36352,0,0,5376,0,59136,0,0,17152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81152,0,0,0,0,0,0,0,0,23808,0,30976,0,0,0,0,22784,9728,0,0,0,0,0,0,0,0,0,0,0,0,0,39680,0,13056,0,0,0,0,0,124928,0,0,0,0,0,33024,0,0,0,0,0,0,0,78080,168960,91904,0,0,51968,0,423424,0,0,0,0,0,0,0,0,0,0,31232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161280,0,0
ASGL,0,0,45056,0,134656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498176,0,0,0,0,0,0,0,0,0,0,132864,1483264,0,0,0,0,0,0,0,0,0,0,0,0,0,122624,0,1096192,0,0,0,0,0,0,0,0,0,0,284672,0,0,0,70656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85760,0,0,0,0,80384,0,97792,0,46080,0,0,0,0,750080,0,0,0,0,0,0,0,0,230144,0,0,0,0,0,17152,0,0,0,0,0,0,0,0,0,0,1536,0,0
RMGL,0,0,0,0,0,0,1792,31488,0,0,250368,0,2304,0,205824,0,0,0,0,316416,0,0,0,443392,410880,0,0,0,0,0,0,0,52736,0,221440,200960,0,0,255744,0,311040,3072,0,0,0,0,0,0,180224,482304,7680,212224,0,0,0,302336,1398016,448768,0,0,305664,0,0,0,12544,0,0,308224,0,0,5632,307968,0,0,3328,248832,0,70912,0,264448,0,0,0,708608,0,0,380672,134144,0,45056,115712,0,0,0,0,0,0,7680,23808,0,0,0,0,0,0,0,0,254976,0,0,0,0,0,0,0,0,0,0,0,0,0,417792,601344,0,43776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5888,0,199168,0,0,39680,0,0,402176,0,431872,217600,2864896,1113344,64512,166400,0,0,317184,0,0,0,87552,176640,179200,110592,51456,0,55552,1061888,0,0,41728,60672,0,0,71680,0,290560,0,55808,30976,0,0,110336,183040,55296,0,0,0,75264,0,0,0,0,0,0,5376,0,0
BDUL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50688,0,0,0,0,29440,0,0,0,0,0,0,0,0,0,0,140032,0,26112,0,0,0,0,125696,166656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176640,26624,0,305664,0,38400,0,0,427264,0,0,0,0,0,0,496128,0,0,0,0,0,0,0,0,4864,531200,0,0,0,0,0,0,186112,632320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5632,0,139520,0,0,7680,37376,29184,0,0,0,22016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371712,104960,0,0,0,234496,1494272,0,0,618496,0,0,0,159232,0,113920,0,0,0,0,0,0,0,0,48640,56064,0,0,0,0,0,0,0,0,47360,0,0
AVBR,81664,108288,78592,0,0,129792,0,0,134400,0,1024,0,0,73472,36096,0,113152,109312,173568,144640,0,0,20224,0,512,0,0,133888,0,0,25856,0,408320,0,435456,0,60160,547584,757248,756480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38400,0,0,0,325888,0,1666560,0,0,0,355584,0,0,4864,346368,0,0,199168,439808,202496,311040,1057792,0,34304,0,5376,0,31232,738048,444672,0,22272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96256,196352,0,0,15872,0,0,0,137472,0,27904,0,0,0,0,0,22784,0,0,0,0,0,0,0,43520,0,12032,0,12544,28416,13568,0,0,0,0,0,0,0,0,0,0,3328,0,0,0,0,0,0,118272,200192,0,308480,0,289536,52736,0,47104,559360,0,0,197888,189184,25088,63488,0,96256,746496,1553664,422400,544768,0,604928,0,0,22272,22016,474112,0,0,0,0,0,25088,0,0,61952,0,0,0,150784,0,0,0
BWM-VL03,0,0,0,183552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275968,67328,0,0,1845760,0,0,0,0,0,0,540672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2816,252928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11776,0,0,0,0,0,0,207360,662784,6400,0,0,0,0,0,0,0,0,0,219392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWM-VL05,0,0,0,39680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331008,0,0,0,0,0,0,0,0,0,851968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258560,9728,0,0,0,0,0,0,0,0,0,45824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4864,0,0,0,0,89600,0,0,0,0,0,0,0,0,0,0
PVCL,0,43520,84480,0,0,0,0,0,0,96512,0,0,10496,23296,0,0,0,0,0,80384,0,0,0,0,0,0,18944,0,0,0,0,152064,130304,0,46848,13312,0,0,27904,410880,14336,1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12544,427264,325888,0,0,0,0,700672,19456,0,37376,124416,64256,0,0,37632,127744,2816,0,192512,49152,171008,46080,360704,0,0,0,0,196864,671232,1320704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26112,0,0,0,0,0,0,0,36352,0,32256,0,0,0,0,0,14080,8704,0,0,86528,0,7424,0,55552,221184,678400,75008,5632,28928,774656,768,0,0,0,13056,0,0,684800,67072,19456,0,33536,12288,0,0,0,0,0,0,192256,0,0,0,0,571392,0,0,0,0,0,0
AUAL,0,18688,1552128,152832,245504,0,0,610560,1364480,37632,0,0,0,115712,0,932352,85248,0,0,0,0,0,0,0,0,0,0,0,0,36608,0,0,0,0,0,0,0,0,167168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10496,0,0,0,0,0,0,0,0,0,0,0,0,21760,0,169984,0,441344,0,0,311552,0,0,196608,0,0,0,0,13568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25344,0,0,149760,0,0,0,0,0,0,0,0,0,31232,0,0,0,3584,96000,41728,0,0,0,0,0,0,0,0,0,0,0,9728,0,0,0,0,0,0,82432,37888,0,1777920,0,0,0,0,0,0,128256,0,1797632,0,56832,167168,0,121856,0,3584,0,0,42496,42240,0,79360,0,0,104960,0,0,134144,0,0,35328,0,91136,0,0,0,0,0,0,0,0,0,1192192,0,0,0,0,0,0,0,0
PVPL,0,0,0,0,0,0,0,1536,0,0,0,0,0,1271552,0,512,0,0,0,68864,0,0,0,0,229120,0,0,0,0,101632,0,0,2816,0,0,0,0,0,1088768,0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1666560,0,0,700672,0,0,512,0,0,68352,0,0,0,204288,0,0,0,3840,142592,44800,0,0,0,0,0,0,0,1360640,235008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359168,0,0,0,0,0,0,2816,0,0,0,0,0,0,4352,0,0,0,0,0,0,0,0,0,0,0,0,0,6144,0,34816,0,0,0,0,0,0,0,41984,0,331264,0,0,0,0,0,0,0,0,0,12288,0,280320,0,0,0,830464,0,185344,0,307712,56064,0,0,0,167168,0,0,1062400,0,354560,0,7680,134144,0,11008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
