,RMFR,RMFL,BWM-VL02,BWM-DR06,BWM-DL03,BWM-VL01,BWM-VL07,AVFR,ADAR,RMDVR,OLQVL,URBR,URXR,CEPDR,RMEV,RICR,RMEL,OLLL,IL1DR,URXL,OLLR,RMER,RIGL,ADEL,AUAR,PVPR,DVA,AVAR,RMDR,FLPR,RMDVL,BAGR,AIYR,SAADR,BAGL,RIPL,RMGL,AIBR,SAAVR,ASHR,BDUR,IL1VR,SIBVL,RMHL,RIMR,RIBR,BWM-DR02,OLQVR,CEPDL,URAVR,BWM-DL07,BWM-DL05,IL2DL,IL1DL,BWM-DL01,RMGR,IL2R,URYDR,ALNL,PVR,URADR,IL2DR,OLQDR,AVDR,URYVR,ALNR,ADER,SDQL,RIAR,IL1R,AVEL,BWM-VL04,BWM-VL08,RIVL,BWM-VR04,BWM-VR02,ADLR,BWM-VL06,ALA,CEPVL,BWM-VL03,IL1VL,AVER,AIZL,RIVR,AVL,CEPVR,BWM-VR05,RMDDR,SAADL,BWM-VR03,BWM-VR01,BWM-VR07,BWM-VR08,BWM-VR06,ALMR,ALML,RMDDL,AVJL,AWBR,ADAL,BWM-VL05,ASIR,SMDDL,RMHR,SIBDR,BDUL,AVDL,SMBDR,AFDL,PVCR,AVHL,SIAVR,SDQR,AIBL,SMDDR,SMBVR,PVT,SIADR,DVC,SIBVR,ASJR,PVQR,ASGR,ASER,RIFR,AWCR,AFDR,FLPL,RIH,AVBR,AWAR,AIMR,AVM,SMBDL,PVCL,AIZR,AIAR,AINL,AINR,AIYL,AVJR,ASHL,AUAL,AWBL,PVPL,PVQL,ASJL,ASGL,ASEL,AWAL,SIBDL,AIML,ASKL,AIAL,SMBVL,SIADL,SMDVR,RIML,ADFL,BWM-DL08,OLQDL,URYDL,BWM-DL06,URYVL,URBL,BWM-DL04,AWCL,RMDL,AQR,URADL,BWM-DL02,RMED,BWM-DR04,BWM-DR08,RICL,RIS,BWM-DR01,BWM-DR07,BWM-DR03,BWM-DR05,RIGR,IL2VL,IL2VR,RIPR,IL2L,IL1L,URAVL,SAAVL,ADFR,AVAL,RID,AVHR,AVKR,AVKL,SIAVL,RIBL,ADLL,RIR,AVBL,ASKR,RIAL,SMDVL,RIFL,ASIL,AVFL,excgl,VB1,SABD,VA3,VA2,DB1,VA1,VB2,CANL,CANR
SMDDL,0,60840,0,79080,0,111960,0,14400,39480,14400,0,0,129000,847440,0,444600,0,70200,104280,0,530640,0,0,0,0,0,0,1342800,411000,0,18240,0,0,3720,0,0,197760,2061480,3644760,0,0,0,1950240,438360,1944480,1181880,0,0,0,0,0,0,0,0,0,305280,0,671400,6000,0,0,0,196560,58320,0,377400,294480,0,2478720,0,429840,0,0,551040,0,0,96120,0,43200,0,43920,0,26640,0,2753160,71640,0,0,81720,1628040,12720,30960,0,0,0,2880,0,836760,32400,0,0,0,0,36960,700800,45000,0,0,840,0,0,0,49080,1560,85080,428640,326280,0,0,0,0,42480,64080,0,0,0,0,0,0,0,0,0,77520,0,276000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,690480,0,0,0,29280,1639320,4548720,1282200,0,0,0,0,0,29280,0,0,0,517440,0,0,0,1618800,12600,0,208320,1488120,57600,196800,164520,341520,0,0,0,0,0,0,0,231600,0,160440,0,0,161040,123120,0,182880,0,0,40440,10440,2990280,831000,0,0,0,1442640,0,0,0,0,0,0,0,0,0
RMHR,433560,0,0,248040,0,0,0,0,0,263400,426120,662520,136080,1015080,0,1694880,117360,0,0,0,523800,0,27240,0,0,0,189840,819360,1104720,608160,204120,0,0,146280,0,0,1134120,63720,254280,0,0,0,0,1621920,23880,0,617040,0,19680,0,0,0,13440,0,0,1874280,44280,0,33600,28800,0,49920,206280,0,0,425280,104160,76440,0,917160,0,0,0,192240,591120,336000,0,0,0,327000,0,0,0,0,1112040,189720,0,0,101160,75360,0,0,0,0,0,0,312960,671400,0,0,139680,0,0,700800,0,56280,0,0,172920,0,0,0,0,0,51360,415320,1560,14400,195720,48840,315720,0,0,0,0,0,0,0,60600,121440,0,0,0,0,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402960,0,0,0,5280,59760,406080,98520,0,0,0,0,0,0,14880,0,0,1045920,0,0,0,0,651000,66360,1635240,139920,0,0,0,0,553920,0,0,0,0,0,0,112920,0,443040,76080,0,243240,663360,190440,0,0,0,0,0,33120,80760,0,0,0,98760,0,0,0,0,0,0,0,0,0
SIBDR,0,0,0,0,0,0,0,25920,415440,18720,0,586440,0,0,0,448680,0,64560,0,113280,0,0,0,441120,167160,0,73560,67920,0,0,426360,50160,177720,0,83160,0,87360,78120,132120,0,0,33240,345360,330000,1072320,504120,0,697920,0,103440,0,0,0,0,0,854880,0,10560,120360,156960,6120,0,0,165840,302160,0,0,0,128880,67920,332880,0,0,202800,82680,1680,0,0,50640,0,0,0,0,309480,593880,0,191880,10800,97560,0,0,0,26640,26520,158280,0,298440,0,107880,186120,18480,0,113400,45000,56280,0,0,75720,2027040,0,0,224160,3533640,0,127800,847680,1832280,84840,1348320,2040,1606080,720,0,0,4680,0,173760,92160,0,0,86760,0,0,95760,464640,0,357240,0,111000,0,0,78600,8280,0,0,0,8160,3000,0,0,12000,186720,76440,30240,0,0,114480,405360,472920,0,0,0,55200,0,0,71760,0,0,486000,161040,0,0,0,0,0,831720,0,0,0,0,0,0,0,86760,1440,0,0,0,174360,0,162960,33000,0,0,90480,51960,0,29400,0,281520,0,0,64680,0,0,29760,0,0,0,0,0,96240,103560,0,0,0
BDUL,0,0,0,0,0,0,0,1263840,0,0,0,0,0,0,0,0,0,0,0,73080,0,0,0,177600,0,480,80160,9600,0,0,0,0,0,0,0,0,3960,0,0,0,312360,0,0,0,0,0,0,0,42480,0,0,0,41400,24480,0,0,0,0,0,172560,47640,0,0,706560,0,0,0,1157640,0,0,7200,0,0,0,0,0,0,0,0,30600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1262880,0,86160,0,352800,0,0,0,0,0,0,90960,0,0,0,538800,0,0,0,0,0,0,0,0,128280,0,0,0,0,202080,0,0,0,0,281040,0,0,0,0,87480,5280,0,0,0,0,1553400,9480,0,0,11040,493320,0,0,0,0,0,129000,0,0,0,0,0,0,0,0,0,0,0,0,0,103440,0,0,0,77760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3480,0,0,4800,0,368520,315720,0,0,0,0,0,0,381960,0,0,0,2419200,0,1115160,0,112080,0,0,0,0,0,0,0,0
AVDL,0,0,0,0,0,0,0,22320,409680,0,0,319920,397800,0,0,228720,0,30480,38520,136560,0,0,0,156360,243120,0,1186560,0,0,192120,0,288120,0,0,953400,64200,0,202920,1080,430920,0,0,381240,0,32400,150360,0,49560,105600,0,0,0,14760,0,0,155400,0,0,0,524400,0,32760,84600,92640,66720,0,0,0,0,0,0,0,0,25320,0,0,535080,0,20400,0,0,0,566160,0,0,0,133080,0,0,31920,0,0,0,0,0,468960,249120,0,1592160,0,156960,0,0,0,0,75720,90960,0,74880,0,2162160,174480,65880,269760,122760,0,118560,0,72360,0,18480,0,0,0,0,0,0,0,250680,0,812160,0,0,1227240,0,93000,34800,86040,260640,0,0,81600,200160,0,0,0,0,67320,0,0,0,20640,111480,3720,0,0,0,0,47640,0,0,43800,159240,0,0,100440,0,0,0,772560,19440,0,217080,0,0,36480,2880,0,0,0,0,40680,0,0,2040,0,0,0,0,0,725760,700920,0,0,6120,0,0,98040,37320,1162920,0,0,113880,53520,0,0,0,0,0,0,0,0,0,0,0,0
SMBDR,459840,0,0,0,366000,0,0,0,707640,774840,0,0,0,0,0,143760,0,0,0,0,0,0,191160,241200,0,304200,865080,96240,105960,42360,0,0,0,754680,0,0,0,0,172560,84720,0,0,1453440,31800,492480,4320,0,0,569040,2880,155280,218760,0,0,253320,194040,0,104040,575400,0,2520,0,0,0,242640,0,138960,509280,378000,0,337920,0,0,590880,0,0,0,0,0,0,0,0,13080,471240,233520,140640,0,0,1193280,0,0,0,0,0,0,0,525120,431160,0,132840,277080,0,0,840,172920,2027040,0,74880,9840,0,0,720,2066400,0,1124880,371880,6032160,526680,1646520,396840,1367040,0,0,0,0,0,0,0,29400,244680,0,19920,0,5640,318840,0,2475480,0,0,0,0,8520,0,0,0,0,0,0,0,0,0,373560,0,0,0,1744080,0,39240,0,0,15840,884400,0,30240,0,783840,503640,0,27240,204720,2040,68160,116520,0,0,546720,721560,0,0,0,0,245040,0,120,0,0,0,0,1900440,803040,366000,0,0,194400,526080,48480,0,0,12360,12360,0,10680,0,79080,0,0,296280,0,0,0,0,0,0,0,0,0
AFDL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173640,0,0,24480,0,278400,0,0,0,0,0,0,0,0,0,0,0,862560,0,0,0,0,0,0,91440,0,0,0,0,0,0,0,0,0,0,0,0,0,15960,43800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29760,0,0,0,0,0,0,0,0,0,1479240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,859320,0,0,0,0,0,0,0,0,0,1830120,0,3000,167040,0,0,0,0,0,0,0,0,0,0,289560,3756120,4356480,0,0,2080680,117720,0,0,0,0,61440,471840,90960,0,0,0,0,0,0,0,534240,0,75600,6240,0,0,0,0,632160,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130080,12240,0,0,0,0,6360,480,0,0,0,120,0,14160,0,0,11040,0,0,0,0,0,28920,0,0,0,0,0,18360,0,0
PVCR,0,0,0,0,0,0,0,0,115440,0,0,162600,75600,0,0,306840,0,0,0,0,0,0,0,0,0,1508640,368040,271200,0,247080,0,0,5400,0,1560,0,0,0,0,59400,223320,0,254040,0,0,0,0,24240,0,0,0,0,0,0,0,50040,0,480,0,33960,0,0,0,5160,840,0,0,0,0,0,3120,0,0,0,0,0,0,0,0,0,0,0,254280,0,0,0,35040,0,0,0,0,0,0,0,0,375360,0,0,1588440,0,0,0,0,0,0,0,0,2162160,0,0,0,1203240,0,2760,15600,0,0,0,0,0,0,0,0,0,0,254400,0,0,324720,0,1791240,0,0,1240440,0,0,6720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2917680,0,0,0,0,0,960,30360,0,0,0,0,0,0,0,0,0,0,0,0,0,188880,0,0,0,0,0,0,0,73080,667320,0,0,0,0,0,0,0,0,0,0,0,3120,0,0,0,0
AVHL,0,0,0,0,0,0,0,5760,526080,0,0,0,435840,0,0,0,0,0,0,246600,0,0,0,270240,105240,2457600,681000,0,0,0,0,0,40440,12000,77280,0,0,24960,0,2133480,0,0,0,0,33600,0,0,94080,129240,0,0,0,0,48120,0,28080,0,0,4680,0,25200,0,14040,19560,63480,0,0,0,1800,0,0,0,0,267480,0,0,268320,0,99120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305520,0,1284960,1450320,0,0,0,0,0,224160,538800,174480,720,0,1203240,0,0,0,1680,37320,552840,0,250440,0,0,0,0,0,130800,487560,0,53400,0,0,762480,588000,2160,226440,0,149280,429480,5280,413520,0,0,349320,119280,0,0,82560,0,6840,0,0,4920,0,58800,0,0,0,0,0,0,0,0,38760,47040,0,0,0,0,0,0,1127640,24480,0,0,0,0,0,427320,0,0,0,0,32880,0,0,0,0,0,0,0,1180800,246720,0,145800,0,0,0,0,84960,2189760,860880,0,240,422040,463080,0,77040,0,0,0,0,0,0,0,0,0,0
SIAVR,320880,0,0,0,0,0,0,0,344880,99000,0,118800,69480,0,0,1925040,0,0,0,0,148440,0,0,0,0,399360,2963400,168840,0,0,1536000,0,164160,75120,0,0,0,0,57480,0,0,26040,742800,38880,37440,205800,0,82560,0,49440,0,0,0,0,0,77760,163200,0,0,232920,0,0,0,0,10560,54480,9240,0,73560,53640,1035120,0,0,1777800,0,0,0,0,0,0,0,0,41040,0,0,0,228840,0,0,9120,0,0,0,0,0,0,0,158280,0,0,0,0,0,49080,0,3533640,0,65880,2066400,0,0,0,0,1879680,174600,5400,2689560,242640,785280,1106640,1863480,0,0,0,0,0,0,0,0,686520,0,0,112920,0,77400,0,13440,1560,0,0,0,0,0,0,0,0,0,0,0,0,0,48720,0,0,0,0,57840,59520,15120,0,0,0,0,0,0,0,0,0,464160,17760,0,0,0,0,0,115920,135360,0,0,0,0,0,0,29160,0,0,0,0,392640,162960,83040,0,0,88800,64440,0,0,0,0,404160,0,551760,1172400,0,0,0,481680,23520,404880,1200,187080,0,0,60360,0,0
SDQR,0,0,0,0,0,0,0,0,263280,0,0,44520,0,0,0,1974600,0,0,0,0,0,0,0,0,0,1560,1602600,0,0,0,162600,0,0,33720,0,0,0,0,425160,0,341040,0,2566320,0,406800,0,0,0,0,0,0,0,0,0,0,17400,0,0,0,2649600,0,0,0,0,0,43200,226920,0,0,11040,0,0,0,242880,0,0,0,0,0,0,0,0,9000,0,0,0,144840,0,0,550440,0,0,0,0,0,1316760,0,33000,0,0,0,0,0,1560,0,0,0,269760,0,0,2760,0,1879680,0,0,92160,0,0,0,0,0,0,0,0,0,64800,0,0,3600,0,0,0,0,1708080,512640,0,0,0,0,1560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131160,0,0,0,0,0,0,0,0,0,0,0,0,59760,0,0,0,0,0,983520,720,0,0,0,0,0,0,0,0,0,0,0,97560,0,558360,0,0,150960,89280,0,0,0,0,1623120,0,0,532440,0,0,0,137160,0,195480,0,0,0,0,0,0,0
AIBL,69600,0,0,0,0,0,0,45480,145560,0,0,0,0,0,233880,0,0,0,600,0,136680,0,0,0,279360,291480,539160,199920,0,8880,0,0,0,313680,308880,0,0,560400,110640,0,0,122760,179760,0,4369680,702960,0,2040,0,140280,0,0,14040,17400,0,187440,12360,270240,0,0,0,0,0,121080,127680,0,0,0,88080,0,802200,0,0,913440,0,0,0,0,480,0,0,0,481920,234480,110520,958440,0,0,0,345000,0,0,0,0,0,0,0,0,0,85080,78960,0,0,85080,51360,127800,0,122760,1124880,859320,15600,1680,174600,0,0,2052360,25200,365520,2561760,643440,109560,0,0,0,178800,0,708600,0,89160,26400,0,0,0,0,0,3120,2496600,25200,520200,394080,798000,0,1305960,90360,290640,0,337440,0,765360,3258840,127320,430920,6600,974520,4256640,20280,0,120960,126000,117240,0,0,0,0,0,0,0,3878040,0,452880,0,0,169680,0,0,5760,1496880,0,0,0,0,1491240,0,118800,0,3960,0,0,124680,0,1297080,0,0,908040,145200,0,0,928680,318360,909000,0,0,16680,161040,252960,0,0,65040,0,0,0,0,0,98520,0,0
SMDDR,42600,0,0,0,126000,2160,0,15960,0,0,0,0,0,8160,628920,1034880,0,604800,0,1320,54360,0,0,465960,0,0,105000,670440,630960,0,33840,0,0,654360,0,0,128040,0,396720,0,0,0,0,164640,2139600,177120,0,0,874680,0,0,289440,0,12000,149760,653160,0,0,1076640,0,0,2640,0,0,0,14760,0,24600,2526600,0,36240,0,0,3309360,0,0,0,0,46080,0,2880,0,444720,0,0,106320,0,0,923160,0,1680,191400,0,0,0,0,25440,2520,22680,0,0,0,0,428640,415320,847680,0,0,371880,0,0,37320,5400,92160,2052360,2760,13440,0,2190360,1080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61080,17400,0,0,1440,720,22440,0,0,720,7440,29520,0,0,0,0,891360,2290920,0,8400,220800,814440,0,0,149040,39720,0,411000,0,0,0,1790280,0,0,672600,3050760,27600,0,43680,0,0,0,0,0,0,1680,0,4560120,0,2185080,50520,0,359760,66960,0,1182960,0,0,61320,0,2766120,3858960,0,0,56640,301320,42360,0,0,0,0,0,0,0,0
SMBVR,13320,0,0,0,0,0,0,69840,180120,0,0,241920,52080,0,48600,932280,0,0,0,0,147840,0,4320,0,0,222840,476520,0,0,0,1127040,0,461160,3439320,0,0,0,4440,36480,946800,3360,96000,746280,142200,321840,0,0,399960,0,3960,0,0,0,0,0,208920,56880,0,0,0,0,0,0,0,1800,187440,252000,0,354480,25440,137160,0,0,151560,95520,44280,1692840,0,304440,0,0,0,73680,53520,0,240,762720,273000,1680,194160,484440,65040,196440,13080,150120,0,0,373680,207120,497880,0,0,0,326280,1560,1832280,0,118560,6032160,0,0,552840,2689560,0,25200,13440,18600,310320,209520,17160,257880,137880,307320,220080,36960,573960,0,0,0,0,171240,21240,247560,17520,668640,0,2228280,754920,0,0,0,0,0,0,0,0,0,0,0,0,0,36600,0,0,0,24360,107760,0,0,0,0,0,0,0,0,0,0,0,84120,24720,0,0,0,0,0,247680,2166600,0,0,0,0,564960,0,102000,58200,0,0,0,977040,1950120,0,0,0,491880,250560,0,0,0,85080,101160,233520,46920,312480,0,0,155880,1842120,324480,62160,0,169080,0,0,0,0,14040
PVT,527880,0,0,0,0,0,0,0,0,0,197160,36480,6840,0,1225680,11160,17640,105600,10560,0,107400,367680,837360,0,0,0,0,0,45960,275160,0,0,0,0,0,0,0,831480,0,0,0,67080,0,0,70080,127440,0,462840,0,113160,0,0,0,50280,0,0,7080,63240,0,0,0,46560,59160,0,281880,0,120,0,0,0,0,0,0,0,0,0,0,0,0,1320,0,118800,0,28320,140640,2534640,0,0,0,5400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14400,84840,0,0,526680,0,0,0,242640,0,365520,0,310320,0,280320,4623840,75120,0,0,0,0,0,0,0,240,558600,0,0,0,0,0,88320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55200,0,0,82320,0,0,290400,80640,0,282720,16200,0,0,21840,316440,0,0,558840,0,0,0,21600,0,0,0,0,1314000,41760,212280,0,0,0,127440,0,0,292080,0,0,5387400,7388280,0,114120,0,106320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIADR,936960,0,0,0,0,0,0,480,9600,206760,0,0,0,0,179880,561000,0,0,0,55560,0,0,0,360,0,0,632760,99960,872400,50160,0,0,0,323280,40800,0,4320,0,277320,0,0,82200,480480,116400,281400,227760,0,0,0,45720,0,0,0,0,0,0,0,18240,428040,0,0,0,0,0,212880,0,0,0,689640,0,128280,0,0,100920,0,0,0,0,44040,0,0,0,32040,0,0,1082760,0,0,694200,62880,0,0,0,0,0,0,734760,380160,83160,0,148680,0,0,0,195720,1348320,0,72360,1646520,0,0,250440,785280,0,2561760,2190360,209520,280320,0,515280,172800,0,0,0,0,0,0,0,67440,91920,0,0,0,0,0,0,33000,0,0,0,0,3240,17160,0,0,0,0,30120,0,0,0,15480,140880,37440,0,0,137760,1666560,179400,0,0,31440,0,0,0,60120,0,0,332160,7920,0,0,0,0,0,87360,1329120,0,0,0,0,974280,0,48240,0,0,0,0,41760,0,337560,0,0,1183800,628440,139680,0,600,545400,68520,0,47400,1346280,0,0,0,426960,0,0,0,0,0,0,0,0,0
DVC,145080,0,0,0,0,0,0,0,0,0,365760,57240,7560,0,348720,0,0,113280,26400,0,167160,50160,3780120,18720,0,67680,480,1279080,4080,170640,0,135240,0,469440,319080,0,960,1323720,0,0,0,3360,0,0,156120,781800,0,204840,0,177240,0,0,0,72120,0,0,0,83400,0,0,0,1800,92640,32880,191280,0,77880,0,5880,0,942120,0,0,731280,0,0,0,0,0,11400,0,73800,188160,151080,642600,237720,0,0,0,579480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48840,2040,0,0,396840,0,0,0,1106640,0,643440,1080,17160,4623840,515280,0,238200,0,0,0,0,0,0,0,60720,38640,0,0,2520,0,0,1200,467040,0,0,0,0,0,0,0,0,253560,0,0,0,0,0,0,0,0,0,0,0,0,30360,0,0,215160,63840,0,115680,0,0,0,0,1513080,0,0,484680,0,0,0,29880,0,0,0,0,2548440,111120,60240,0,0,0,222840,0,0,351360,59520,0,2702160,4114800,0,898920,0,0,3480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIBVR,408600,0,0,117000,0,0,0,649920,649320,141120,35520,887520,4920,259560,36360,476520,0,92640,0,3000,0,0,0,136920,0,34200,2840400,41280,132120,38640,389520,52440,0,93240,118680,54960,678720,224280,17280,960,0,39840,2464440,22560,1169880,310680,0,156120,0,88200,0,0,0,0,0,354720,96360,54240,0,8880,35160,0,345840,856320,118200,216600,174240,231120,226800,20280,346680,0,0,28800,0,0,0,0,0,340680,0,25320,0,172440,323280,41040,12360,0,454440,42120,0,0,0,0,0,0,194040,155160,0,0,30000,0,0,0,315720,1606080,128280,18480,1367040,0,0,0,1863480,0,109560,0,257880,75120,172800,238200,0,0,0,0,0,0,0,0,55560,7200,328320,0,0,0,1935360,0,0,0,0,0,0,0,0,0,0,0,185760,0,0,0,0,375960,0,0,0,695880,326520,5880,97080,0,0,0,0,0,108480,647640,0,0,1085760,334680,0,0,0,22920,137160,2065560,0,0,0,0,0,52680,0,16680,74640,57240,0,11640,0,0,7800,1287480,0,141240,0,1139880,281160,0,0,392280,0,9480,0,0,0,357480,681720,720,0,0,0,0,0,5160,0,0
ASJR,0,0,0,0,0,0,0,243120,0,0,0,40560,179280,48480,0,0,0,0,23640,0,18720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21720,0,0,0,0,0,0,0,5040,0,33240,42120,3840,0,0,0,0,9240,68280,0,8280,73440,0,0,148200,0,0,0,0,0,0,10920,0,441840,0,0,0,139320,0,0,0,187320,0,0,0,0,0,0,0,0,93840,0,0,0,106320,0,0,315480,42480,0,720,0,0,0,0,0,0,0,0,0,0,137880,0,0,0,0,0,3946320,134880,474240,164760,0,0,0,0,0,1800,1893840,0,0,0,0,539280,0,0,0,43080,0,0,0,0,0,275160,0,0,0,97080,31320,369120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53160,27720,0,0,0,0,0,0,0,1200,0,0,2970120,0,0,0,0,84000,0,0,138240,9480,22680,0,0,17040,0,0
PVQR,0,0,0,0,0,0,0,1479840,135600,0,0,0,23160,0,0,0,0,0,0,0,1320,0,0,0,0,0,0,0,0,0,0,0,12360,0,0,0,0,49200,12600,213000,781440,0,3600,0,0,0,0,0,0,0,0,0,0,0,0,2208720,2640,1200,0,0,0,0,40200,0,0,0,0,0,0,0,0,0,0,0,0,0,626640,0,296040,0,0,0,16800,0,0,0,340320,0,0,0,0,0,0,0,0,34560,0,2160,130800,0,0,0,0,64080,0,0,0,0,0,0,0,0,0,0,0,0,307320,0,0,0,0,3946320,0,0,458160,1402920,1800,0,2760,0,25560,418800,1383120,111240,0,0,0,1109160,0,0,0,0,0,0,0,0,0,108000,0,0,249480,6360,208080,148320,27480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3300360,0,0,0,0,723480,0,0,0,0,0,0,0,0,0,0
ASGR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27840,0,0,0,0,1113840,0,21480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,561600,0,0,0,0,0,0,0,0,0,0,0,0,0,220080,0,0,0,0,134880,0,0,390600,0,909960,0,0,0,12360,473400,1693560,0,0,0,489000,3414120,74280,120960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160560,0,0,0,0,0,0,0,0,0,0,0,45600,0,85920,0,0,0,0,228720,303360,0,110160,0,0,18720,0,0
ASER,0,0,0,0,0,0,0,61080,0,0,0,0,3480,0,0,0,0,73080,0,0,0,0,0,0,115200,0,0,0,0,0,0,1048680,3281280,0,8160,0,0,2756880,0,844920,0,0,0,0,93960,115560,0,0,0,0,0,0,3840,40680,0,0,0,0,0,0,0,0,23280,0,0,0,0,0,0,0,0,0,0,0,0,0,1534320,0,50040,78960,0,0,0,1199160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1709160,0,0,1169640,0,0,4680,0,0,0,1830120,0,130800,0,0,178800,0,36960,0,0,0,0,474240,458160,390600,0,276240,3896880,624600,0,0,0,4638120,840,0,0,0,1059240,976560,24480,760200,3076920,0,0,0,8160,0,0,0,0,235080,0,0,0,0,538800,0,0,0,0,343680,0,66000,10680,0,0,0,0,834840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23280,0,0,104040,396600,0,277560,8400,0,0,0,0,0,27840,0,500040,0,0,0,350160,72840,0,93600,227040,0,57120,0,0,94920,0,0
RIFR,0,0,0,0,0,0,0,783480,260400,0,0,0,43800,0,0,0,0,0,39360,0,0,0,0,0,0,781200,0,0,0,50400,0,0,248760,0,0,0,0,80640,0,2731800,2439840,0,0,0,2103480,0,0,0,0,0,0,0,0,0,0,1227360,0,0,0,57480,99360,48240,0,79320,0,0,44160,0,0,31440,0,0,0,0,0,0,0,0,0,0,0,0,127080,0,0,0,0,0,0,0,0,0,0,0,0,652560,0,0,1677120,196560,0,0,0,0,0,0,202080,0,0,0,254400,487560,0,64800,0,0,573960,0,0,0,0,164760,1402920,0,276240,0,0,0,360,0,1232040,185160,234480,10560,79920,0,41520,1389240,0,0,0,568440,13080,0,16800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45960,0,0,0,0,0,0,0,0,0,0,0,0,38400,0,0,461280,0,0,0,0,0,150120,3360,1384680,0,0,5400,0,702240,0,0,0,0,0,0,0,0,0,0
AWCR,0,0,0,0,0,0,0,0,0,0,0,3360,0,0,0,0,0,10320,21840,0,138000,0,0,0,75960,0,0,0,0,0,0,219840,744240,0,44520,0,0,2664600,1200,0,0,0,0,0,0,32520,0,0,0,0,0,0,15600,49320,0,0,55680,21720,0,0,0,44880,1680,0,0,0,0,0,26160,56520,0,0,0,0,0,0,1677360,0,0,57120,0,0,0,612240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345480,0,0,5508120,0,0,173760,0,0,0,3000,0,0,0,0,708600,0,0,0,0,0,0,0,1800,909960,3896880,0,0,536040,0,0,0,85680,0,38880,0,0,174240,2165880,211440,896040,913200,0,0,0,0,0,0,0,300360,122760,0,0,0,0,1695720,0,0,0,0,3120,0,90840,39600,0,0,0,0,4723920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9360,15000,0,0,0,240,0,0,0,0,0,0,274680,0,0,160200,0,0,0,1761480,0,0,0,0,0,0,82080,0,0,0,0
AFDR,0,0,0,0,0,0,0,0,0,0,0,0,70080,0,0,0,0,0,12000,0,0,0,0,0,2642400,0,0,600,0,0,0,0,3915600,0,1880760,0,0,575760,0,23280,0,0,0,0,0,40440,0,0,0,0,0,0,0,0,0,0,33000,0,0,0,0,0,0,0,0,0,0,0,23640,3720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25920,0,12480,0,0,0,0,0,0,0,0,0,0,0,0,230760,0,0,694560,0,0,92160,0,0,0,167040,0,53400,0,0,0,0,0,0,0,0,0,0,0,0,624600,0,536040,0,0,0,0,375840,0,84600,0,0,968160,0,2867400,498000,220200,0,0,146760,0,0,0,0,0,1052400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268320,0,0,0,0,0,0,0,0,0,0,0,0,0,38040,0,0,0,0,0,0,6840,2365920,0,659040,0,0,0,0,0,0,204840,0,3000,0,0,0,0,0,0,0,126000,0,0,117000,80760,0,0,0
