,URYVR,IL2VL,RIBL,OLQDR,RIR,BWM-VR07,AIAL,RIMR,AIYR,ASJR,ALNL,BAGL,IL1VR,AFDR,OLQDL,RIS,FLPR,BWM-DR07,PVCL,AVKL,IL2DL,AIBR,SIAVL,IL1DR,URXL,ASKL,ALA,BWM-VL07,SMBVR,DB1,AINR,IL1R,IL2DR,RMGL,BWM-DL04,RIVR,SAADR,SIBDR,URYDL,AIML,IL2VR,BWM-VL08,DVC,RMDR,RIBR,ASER,ADLL,BWM-VR06,BWM-VR04,OLLL,URBL,AVBL,AWBR,AVBR,AVDR,BWM-VL04,ASIL,RMER,AVHR,AIZR,DVA,SMBVL,BAGR,AWCR,BWM-VL02,BWM-DL03,RMHR,BWM-VL03,URADR,IL2L,VB2,OLLR,RMHL,IL1L,BWM-VL01,AVFR,URADL,SAAVR,IL2R,URAVR,PVR,BWM-VR05,ASHR,RMEL,URYVL,URXR,SMDDR,AVKR,AVFL,BWM-DR04,RIPL,RIPR,AWBL,AWAL,BWM-DR06,SIADR,AVAL,BWM-DL06,OLQVL,SMDVL,URYDR,BWM-DL07,RMDL,AWCL,AUAL,VA1,RIH,BWM-DL05,RIVL,ASHL,RIAR,RMDDR,SMBDR,RMEV,RIAL,URAVL,BWM-VL06,SIBDL,IL1DL,AVER,SIAVR,AFDL,RIGL,SAAVL,BWM-VL05,ASEL,SMBDL,CEPDR,RMDVR,AIAR,RIFL,AVEL,ASKR,AIMR,RIGR,SMDVR,CEPDL,ASJL,CEPVL,AVDL,RIFR,SABD,OLQVR,BWM-DR02,SIBVR,ADLR,AWAR,ASIR,SABVL,BDUL,VB1,ASGR,RMDDL,BWM-DR03,AIYL,AVJL,FLPL,IL1VL,AIBL,BWM-VR02,excgl,ADFL,ASGL,SIADL,SMDDL,URBR,SIBVL,RICL,SAADL,ADEL,ADAL,AIZL,CEPVR,RIML,AINL,AVHL,RMED,ADFR,PVQL,PVPR,PVT,PVPL,PVCR,PVQR,ALMR,BWM-DL08,BWM-DR08,ALNR,CANL,AVAR,AVJR,AQR,RMDVL,RMGR,AVM,RICR,BDUR,ADER,ADAR,ALML,BWM-VR08,SDQR,RID,BWM-DR05,AUAR,BWM-DR01,BWM-DL02,BWM-DL01,BWM-VR01,BWM-VR03,AVL,CANR
ALA,0,0,0,24480,0,0,0,0,0,524520,0,0,0,0,30240,0,0,0,0,0,45840,0,0,39840,25680,146640,0,0,23400,0,0,30960,0,0,0,0,3960,13440,21000,6000,0,0,0,0,0,35400,389400,0,0,26640,600,0,0,0,21240,0,0,0,3960,0,0,0,0,0,0,0,0,0,1560,101040,0,19200,0,134520,0,0,0,246600,31920,0,0,0,0,0,0,65280,0,0,0,0,0,0,0,3240,0,32880,0,0,0,0,22320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28200,26160,94080,0,0,0,2640,0,0,0,0,0,82200,0,264120,68520,6360,0,0,0,306840,0,44640,0,0,0,0,0,454920,0,0,0,0,0,0,0,0,0,65040,0,0,0,0,0,0,0,30720,23400,6600,0,0,0,26760,0,0,0,0,0,9720,0,0,434160,0,0,0,0,525480,48000,0,0,2400,267960,0,36000,0,0,6120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134880
BWM-VL07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125520,0,0,0,0,0,0,0,12120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8880,0,0,0,0,0,0,0,0,0,0,0,0,0,18960,0,0,0,0,0,0,0,0,0,0,0,0,0,45960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMBVR,0,0,0,0,0,88800,0,2760,43920,121320,0,0,5160,0,0,446880,158160,0,0,46200,0,0,0,0,0,0,23400,0,3720,0,0,5160,0,0,0,0,1610640,540840,0,0,0,0,0,19200,2160,12600,0,150960,58680,0,0,0,264240,91200,0,0,0,0,0,1723560,94800,0,0,0,0,0,6000,0,0,0,0,98280,47280,0,0,0,0,0,104280,0,9960,84840,431280,0,0,107640,200640,143880,0,0,0,0,0,0,0,203040,10920,0,0,146400,0,0,234840,0,0,47640,720,0,51960,0,220560,0,2073480,60240,1800,0,0,0,0,11760,1189680,0,0,341040,0,0,0,0,0,0,0,9120,0,94920,260040,0,0,0,0,0,47520,0,264960,0,290160,643800,14880,1440,0,0,0,87720,130080,0,0,13560,4680,0,0,28560,1284240,0,0,0,0,102720,176760,9240,45240,0,0,0,494400,0,0,183840,0,290160,0,70800,2640,0,25920,23280,21600,0,0,0,0,0,0,0,554280,309600,0,346920,0,48360,159240,0,30960,21840,0,0,0,0,0,0,87120,95760,0,0
DB1,0,0,0,0,0,0,0,77160,428040,0,0,0,0,2280,0,189360,0,0,30360,0,0,7920,0,0,0,0,0,0,0,0,78960,0,0,0,0,0,0,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140760,0,0,0,0,0,0,68640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47400,0,0,0,1560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40920,0,0,0,29760,0,0,0,0,0,0,30840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14640,8520,0,0,0,0,0,0,0,0,0,67440,0,0,0,0,0,0,0,89760,0,0,0,0,0,0,0,26160,49440,0,0,0,0,0,0,0,0,0,30720,30360,3000,150000,0,0,0,0,0,0,0,215160,0,0,0,0,0,0,0
AINR,0,0,582600,21120,0,0,39120,39360,87960,0,0,132120,0,66000,19320,169320,52320,0,0,0,23760,317760,0,12120,28920,0,0,0,0,78960,0,0,33120,0,0,1920,0,17760,38400,0,0,0,0,0,284400,124080,0,0,0,0,0,0,0,0,134520,0,135240,0,133800,0,0,0,1236000,1027800,0,0,720,0,33960,26400,0,71040,0,9240,0,0,2400,0,0,0,0,0,0,0,16080,27120,0,0,0,0,0,0,0,0,28200,0,0,0,12840,0,20040,0,0,251880,1831200,86880,3960,0,0,0,0,0,0,30120,51600,0,0,37920,19080,0,0,1469880,0,26280,0,32520,0,45720,0,89640,0,0,192720,600,0,0,55680,0,52920,0,0,0,0,0,0,0,0,22680,0,0,0,43080,0,0,90720,0,0,0,327960,0,0,0,20640,0,4320,0,0,0,0,0,0,0,0,0,1263360,0,2280,0,0,0,0,0,0,0,98880,0,0,0,0,8040,247440,0,0,0,69480,0,0,81960,0,0,0,35040,870240,0,427320,0,0,0,0,0,0,0
IL1R,0,0,0,0,0,0,0,0,0,4440,0,0,298560,600,0,0,0,0,0,0,0,0,0,235560,0,0,30960,0,5160,0,0,0,0,0,0,41760,0,0,0,0,0,0,0,274080,0,0,0,0,68880,0,0,0,0,0,0,0,0,6240,0,0,0,0,0,6120,0,0,0,0,240240,0,0,599640,0,0,0,0,0,215160,941160,536640,0,0,0,950520,0,75720,0,0,0,19680,0,0,0,0,0,0,0,0,0,0,0,0,138240,24480,0,0,0,0,0,0,153000,856680,0,13800,16440,0,0,0,0,100920,0,0,0,0,0,68760,0,44520,623520,0,0,21120,0,0,0,45960,0,0,0,0,14760,0,0,31800,0,12840,0,7440,0,0,0,0,189240,0,0,0,0,0,0,155520,0,0,0,0,0,578520,0,0,5760,0,0,0,0,0,13800,0,0,0,0,0,0,0,0,13920,34680,0,0,0,0,480,0,0,153000,0,0,0,3360,9240,0,0,0,12840,0,0,240,0,0,0,0,0,0,11160
IL2DR,0,0,0,307200,0,0,0,0,0,3720,0,0,0,0,0,0,0,0,0,0,0,0,0,568200,0,0,0,0,0,0,33120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73080,0,0,0,0,0,0,0,31320,6240,0,0,309360,1800,1440,0,0,0,37800,0,0,0,0,761280,0,0,0,0,0,0,0,0,0,720,0,85200,0,0,283680,0,140760,0,0,0,0,0,1466760,0,0,0,0,0,0,0,0,492360,0,0,36960,0,0,374880,0,0,0,0,0,0,169200,0,0,0,0,0,0,0,0,0,0,0,0,82200,147360,15480,6240,0,0,6360,6120,0,0,0,0,0,19080,10920,0,0,0,6120,18120,0,36480,0,0,0,0,0,4560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9720,0,207360,0,0,0,0,0,0,0,0,0,0,0,0,0,480,0,0,0,0,24120,19440,0,0,0,0,0,0,0,92040,10680,0,0,0,0,0,0
RMGL,0,0,47640,0,0,0,121080,37920,0,0,0,0,0,0,0,374880,0,0,0,64680,0,169560,9960,0,444480,1320,0,0,0,0,0,0,0,0,154560,40800,343320,24120,0,569640,0,486720,0,1192200,0,0,15600,0,0,0,9480,85800,0,0,113760,92400,0,0,0,0,0,118560,0,0,42960,0,2742720,0,0,95280,680760,0,504600,16800,0,233760,0,74400,0,0,0,0,0,0,0,0,111600,213600,13680,0,0,0,2040,0,0,5160,207360,83520,0,15480,0,0,883680,0,0,0,0,0,0,205200,34080,0,0,0,0,0,361560,164280,0,9480,0,0,105240,268800,0,0,138000,0,149640,0,769320,277320,0,0,0,72360,83880,148200,51360,0,0,0,0,0,146640,0,0,0,0,63480,1800,0,40920,0,0,0,0,0,0,0,99360,0,0,2280,44760,0,366480,142920,174480,27480,249600,0,0,5280,0,0,0,0,357000,0,0,1200,0,0,0,32520,0,0,0,28440,71520,0,334440,0,0,40440,0,0,0,85920,0,0,150120,0,0,0,0,0,0,0,0,0
BWM-DL04,0,0,0,0,0,0,0,125760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154560,0,0,0,0,0,0,0,0,0,109560,0,0,0,0,0,0,198840,0,0,0,0,186720,0,0,0,0,0,0,0,0,57480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13080,0,0,0,0,0,58320,0,0,0,0,0,0,0,0,0,0,1068000,0,0,0,0,173280,0,0,0,0,0,0,0,960,544800,45600,0,0,0,233280,0,5400,0,0,0,0,52200,0,0,0,0,0,0,3000,0,0,0,0,0,196800,0,29520,0,0,0,0,0,0,0,0,0,0,33960,0,0,6960,0,0,0,0,0,0,0,0,0,0,0,0,0,50280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20160,0,0,0,0,0,0,11880,0,0,0,0,0,0,0,0,0,0,0,0,0,1330200,0,0,0,0,0
RIVR,0,0,0,0,681000,0,0,238680,6120,0,0,49080,0,0,17400,202680,0,0,0,38400,21840,502320,511200,0,0,0,0,125520,0,0,1920,41760,0,40800,0,0,0,277800,31800,0,0,0,283920,747960,36240,0,0,0,0,0,0,347880,0,126240,81480,0,0,0,63000,0,12360,1560,58440,0,0,0,362160,0,0,0,0,9720,478560,0,0,0,20520,241560,10920,0,267840,0,0,0,0,0,0,42000,0,0,0,0,0,0,0,0,101160,0,0,81720,29280,0,0,0,0,0,0,0,853080,0,563880,0,92520,126480,320280,0,0,358680,0,47280,0,0,384600,227400,0,45480,254760,0,85920,0,0,40080,0,0,0,963000,0,0,39720,114120,0,0,0,0,480,0,0,0,0,0,0,0,345600,0,0,15840,0,0,0,0,440040,0,0,0,1175280,0,0,487920,1173000,390840,76680,0,0,63600,50880,0,0,0,0,0,240,0,56760,0,0,0,0,352920,0,267480,0,0,0,0,0,63960,0,194160,99600,0,0,0,79200,0,96360,0,0,0,0,0,313320,0
SAADR,64680,0,21360,0,8640,45240,0,1537560,0,0,199320,0,0,0,0,437040,0,0,0,354720,0,621600,0,0,0,0,3960,0,1610640,0,0,0,0,343320,0,0,0,50400,1680,0,0,0,74280,0,0,0,0,0,0,235200,111120,20400,0,0,24000,0,0,0,0,0,36600,85800,0,0,0,0,24960,0,0,84840,0,0,164520,36360,0,0,0,30000,0,4440,0,21360,0,0,0,0,894360,0,0,0,0,0,0,0,0,242640,282000,0,0,1706160,0,0,0,0,0,0,17520,0,1096560,0,142680,557640,329760,0,0,0,0,0,0,19560,18000,0,378240,401640,0,0,0,0,0,0,0,200640,0,0,792240,40920,0,0,0,0,0,0,0,0,344880,0,0,0,0,0,0,0,0,0,0,0,0,0,373680,0,413280,0,0,40920,0,0,12720,720,771000,54600,2280,0,1080,1223040,0,5520,0,0,0,0,48720,0,0,0,0,0,0,0,0,163080,13920,0,205080,74160,0,38760,0,125520,123000,301800,0,154920,8400,0,0,0,0,0,0,0,0,0
SIBDR,75840,0,0,0,0,0,0,519480,20520,0,0,55800,5280,160200,0,0,39600,0,152640,17520,0,0,15240,0,95040,0,13440,0,540840,1800,17760,0,0,24120,0,277800,50400,0,51240,47520,7200,0,0,14040,242280,0,9960,44040,20640,36360,34920,306120,0,4080,64680,0,0,0,0,47400,230520,0,32520,36240,0,0,170280,0,0,0,0,0,200160,0,0,0,0,56400,0,13800,0,0,69600,0,0,0,305400,33360,0,0,0,0,0,0,0,590400,840,0,0,317040,0,0,255600,0,0,0,0,0,208800,0,74280,65160,708240,0,0,0,0,146280,0,0,813480,0,0,155400,0,0,90000,0,29400,0,0,83400,0,0,0,135000,0,27120,0,61680,0,0,296040,0,1054800,0,0,12960,0,0,0,0,0,0,0,600,0,0,4440,1440,0,0,0,63840,1440,318360,376080,21960,0,49200,103680,19680,88080,166800,0,19200,0,0,0,0,0,0,12480,0,0,0,0,0,0,105840,9600,0,291480,384960,50160,335040,0,0,121080,167520,15600,2040,8040,0,55680,0,0,0,0,0,0,0
URYDL,0,0,360000,0,0,0,0,0,0,0,0,45840,0,0,512040,44760,0,0,240,0,408840,108120,0,0,277800,0,21000,0,0,0,38400,0,0,0,0,31800,1680,51240,0,16800,0,0,108480,0,0,13920,28320,0,0,50400,53760,26760,0,11760,73200,0,21000,64440,0,0,39000,0,23040,14640,0,0,0,0,0,0,0,0,0,0,0,0,302880,42600,0,0,5160,0,0,141360,0,0,177000,0,0,0,42240,0,0,0,0,0,62760,0,0,14160,0,0,0,36360,75720,0,1187400,0,37920,0,0,240600,0,63960,0,0,0,0,989040,452160,0,3240,185880,29280,0,0,34800,0,0,0,0,92640,0,0,0,0,592680,15360,0,44760,0,0,0,0,28320,0,0,0,0,0,0,0,0,0,0,28080,0,0,0,0,0,0,0,42960,0,0,0,1320,960,0,61560,480,0,96240,27840,19320,382560,0,0,0,59160,0,0,0,0,0,0,0,0,2880,24840,0,1090920,0,0,0,0,0,0,0,0,0,68520,0,0,0,0,18960,0,0,94080,0
AIML,0,0,0,0,0,0,901560,0,0,50400,0,0,0,0,42240,0,0,0,0,0,9480,0,0,0,489360,252480,6000,0,0,0,0,0,0,569640,0,0,0,47520,16800,0,0,0,0,0,0,0,0,0,0,24360,0,0,0,0,128160,0,132600,0,0,0,0,175200,0,0,0,0,0,0,0,40560,88920,0,14760,0,0,39960,0,0,0,0,0,0,0,0,0,0,43200,0,0,0,0,0,0,5880,0,66960,0,0,0,0,0,0,0,0,0,0,0,0,0,292080,0,0,15720,0,0,0,0,0,15960,0,0,0,0,0,0,240,0,0,0,0,361320,84360,0,137760,0,0,8040,1955280,119520,60600,0,0,0,0,0,0,0,0,0,0,6360,0,0,0,178440,25560,0,0,0,0,35760,25920,1130160,0,0,0,0,106680,0,0,0,33360,0,0,0,52920,0,0,608880,0,0,0,0,0,0,0,0,0,0,0,26400,0,0,0,0,0,0,0,0,295440,0,0,0,0,0,0,0,0,0,0,0,0
IL2VR,184680,0,0,0,5880,0,0,0,0,0,0,35880,414000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,0,0,0,0,68040,0,23760,0,0,0,0,0,0,6240,0,0,0,0,0,194160,0,0,46200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,612840,0,0,0,352320,0,46560,0,0,0,0,0,987960,0,0,0,3840,0,0,0,0,0,0,0,0,0,0,858000,0,0,0,68400,6840,5760,195120,0,0,0,0,0,0,10560,0,0,0,0,0,0,0,0,0,0,0,0,0,10080,0,0,0,0,3600,0,0,244080,0,4200,0,0,0,0,0,0,0,0,0,0,0,0,0,44640,0,0,0,0,0,0,0,14160,3720,0,0,0,0,199680,0,0,0,150600,0,0,0,54360,0,0,0,0,0,0,0,0,0,0,14760,0,0,0,133200,0,0,24120,0,0,0,0,0,0,0,0,0,154200,0,0,0
BWM-VL08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,486720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179040,0,0,0,0,0,100320,0,0,12960,0,1680,0,0,0,0,0,0,0,12960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1560,0,0,0,12360,0,0,0,0,0,0,0,0,0,0,0,0,0,641040,11400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DVC,193680,94200,276120,16680,255120,0,0,0,0,0,0,18360,48840,0,30480,72720,20400,0,0,1428360,0,514560,16560,21360,95520,0,0,0,0,0,0,0,0,0,0,283920,74280,0,108480,0,68040,0,0,0,335400,0,0,0,0,37200,0,0,0,0,0,0,0,78840,0,93000,0,0,59760,0,0,0,0,0,0,0,0,21720,0,0,0,0,0,0,0,91440,0,0,0,49440,54600,6000,22560,1262880,0,0,0,0,0,0,0,227520,501120,0,52560,0,44160,0,0,0,2160,0,21000,0,91320,0,0,0,0,101880,0,99240,0,0,26160,132480,0,0,2427120,5160,0,0,0,0,0,0,0,144360,0,0,2112480,0,0,0,0,150840,0,0,223560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,735720,0,111240,0,0,0,840,0,0,0,96360,569400,0,111480,0,48120,0,0,206160,0,0,27600,5053920,0,0,0,0,0,0,0,0,137160,0,872400,0,0,0,0,0,19920,2760,0,0,0,166440,0,0,0,0,0,0,0,1220640,0
RMDR,0,0,220560,0,0,0,0,0,0,0,0,0,0,0,0,739560,0,0,0,22440,0,0,347040,0,0,0,0,12120,19200,0,0,274080,0,1192200,109560,747960,0,14040,0,0,0,0,0,0,0,0,0,81720,474840,162000,369480,0,0,0,0,126720,0,8760,0,0,0,119400,0,0,62280,0,1101840,0,0,150000,0,123720,500400,118920,0,0,0,16800,16800,0,14520,0,0,6600,0,0,150000,382440,0,128880,0,0,0,0,233400,337560,121920,91200,0,91320,0,0,2035920,0,0,0,51000,0,0,0,1022040,293040,0,0,1464000,0,56760,429720,0,327840,0,0,0,0,0,0,0,479640,525240,0,0,0,0,0,0,283320,245640,0,54720,0,4080,0,0,18960,157320,0,0,0,0,0,0,0,659280,0,0,0,0,0,0,18480,0,0,0,170520,241680,3240,558840,106320,4080,67560,0,0,748800,1462920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,622080,405720,0,149160,0,0,0,0,51240,0,0,0,0,0,26280,0,0,0,0,0
RIBR,483480,0,181080,40800,1200,0,0,827040,1265400,0,0,1791240,0,27240,0,1437000,0,0,0,0,0,36600,0,3240,0,0,0,0,2160,0,284400,0,0,0,0,36240,0,242280,0,0,23760,0,335400,0,0,0,0,0,0,0,0,113760,203880,175920,33240,0,0,723600,0,841440,80520,0,391320,59880,0,0,0,0,0,0,0,498360,0,0,0,0,0,0,0,105600,0,0,3960,0,0,300480,199560,960,0,0,0,0,0,0,0,20520,0,0,0,441480,331200,0,462840,0,201000,0,241800,0,0,0,669840,0,0,716520,0,0,0,0,0,263520,78840,0,0,0,0,0,0,121560,54000,0,0,640920,0,0,163440,89040,0,0,0,0,0,0,200160,0,126480,0,0,161640,0,0,0,0,0,0,0,0,0,0,562800,0,0,0,0,20040,347520,0,86520,0,1560,0,0,105840,190200,94080,301800,0,632280,274440,0,0,40680,0,0,0,0,0,0,0,0,221400,0,0,0,9000,0,0,0,0,0,0,0,0,78360,0,2361960,0,0,0,0,0,257160,0
ASER,0,0,0,10320,120,0,130920,0,2189880,44760,0,156120,0,925200,4200,0,0,0,0,0,10080,2212080,0,47040,0,0,35400,0,12600,0,124080,0,73080,0,0,0,0,0,13920,0,0,0,0,0,0,0,0,0,0,0,0,0,685320,6000,0,0,369840,0,0,814200,0,0,0,1272840,0,0,0,0,20640,0,0,6000,0,0,0,0,0,18600,30720,0,0,0,456120,0,0,25320,0,0,0,0,0,0,24360,0,0,0,0,0,0,0,0,0,0,1183200,0,72360,0,0,0,0,28680,0,0,0,0,0,0,0,26760,0,0,719880,0,0,0,1264680,0,51240,0,510360,0,0,391800,0,0,0,0,0,0,0,82320,0,0,0,0,168600,1729320,313440,0,0,0,411000,0,0,634440,0,0,0,87600,0,0,37680,0,0,0,0,0,0,0,0,0,127560,0,0,389520,7800,80880,448320,0,0,0,0,0,172560,0,0,0,0,0,3000,0,0,0,0,0,13200,0,0,0,0,0,0,0,0,50760,0,0,0,0,0,0,0
ADLL,0,0,0,0,0,0,630840,0,0,23040,0,0,0,0,32040,0,0,0,0,0,21840,0,0,0,6840,1536600,389400,0,0,0,0,0,0,15600,0,0,0,9960,28320,0,0,0,0,0,0,0,0,0,0,114480,600,0,0,0,125160,0,114840,0,170880,0,0,401040,0,1200,0,0,0,0,0,112560,46680,0,0,32760,0,0,0,0,0,0,0,0,0,0,17760,0,0,0,0,0,0,0,338880,441600,0,0,236280,0,69120,0,0,0,0,872040,0,0,0,0,0,324120,0,0,0,0,0,0,0,0,32520,0,0,0,0,3360,0,48120,0,0,0,0,0,1560,264240,0,0,0,0,89880,0,105960,0,0,0,0,0,84240,0,0,0,0,0,0,0,0,0,159120,0,0,301680,0,0,0,0,0,0,0,0,0,0,600,205440,0,0,0,48120,0,0,0,770640,0,0,1200,58440,0,0,0,0,0,37920,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9120,0,0,0,0,0
BWM-VR06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150960,0,0,0,0,0,0,0,0,44040,0,0,0,0,0,81720,0,0,0,0,893760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13560,0,0,48960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17760,0,0,0,0,0,0,0,0,0,0,0,0,374280,195240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108120,228480,0,0,0,0,0,0,453720,0,0,0,0,0,0,0,3240,360,0,0
BWM-VR04,0,0,0,0,0,0,0,0,0,0,0,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58680,0,0,68880,0,0,0,0,0,20640,0,0,0,0,0,474840,0,0,0,893760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187560,0,0,0,0,0,0,15720,119400,0,0,99600,0,0,0,0,0,338400,0,4080,0,0,12840,0,0,0,0,18240,0,0,182280,0,0,0,0,0,0,0,0,25320,0,0,7200,0,0,0,0,0,0,0,0,0,0,0,0,46440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1374240,0,0,0,0,0,11520,0,0,0,0,0,0,33240,111240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424320,172680,0,0,0,0,0,0,289320,0,0,0,0,0,0,0,0,0,0,0
OLLL,0,0,862200,0,0,0,0,0,0,0,0,0,0,0,174840,0,0,0,0,17040,0,48480,6360,65400,63240,2040,26640,0,0,0,0,0,0,0,0,0,235200,36360,50400,24360,0,0,37200,162000,0,0,114480,0,0,0,500280,0,0,0,0,0,9600,36840,0,0,0,11640,0,4080,2400,0,0,0,0,820560,0,291840,0,617040,0,0,0,15600,0,0,0,0,0,1065600,179040,0,442560,0,0,0,0,0,0,0,0,0,0,0,290040,109920,0,0,141120,21600,0,0,668280,0,0,0,0,87840,0,915120,2040,82440,0,0,474480,1597920,0,0,366840,0,0,0,0,0,3840,0,0,0,0,0,0,388200,720600,24600,938880,38280,0,0,0,0,0,0,0,0,0,0,0,0,1180560,0,0,0,0,593280,0,0,0,0,0,0,96840,0,0,3360,2640,49200,0,0,0,62880,480,0,693960,0,4320,0,33720,0,0,0,0,0,0,0,0,0,0,0,1072440,0,0,0,0,0,0,0,0,0,0,0,0,0,12240,0,0,0,55800,0
URBL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102360,0,0,0,0,0,0,0,63480,0,486600,0,600,0,0,0,0,0,0,9480,198840,0,111120,34920,53760,0,0,0,0,369480,0,0,600,0,0,500280,0,40920,0,0,212040,2640,18600,3000,0,0,1440,138480,0,0,47520,0,36600,0,0,371040,0,0,240,688440,0,0,0,0,0,0,90960,0,0,0,0,0,97560,0,0,0,0,0,0,0,0,3360,45600,24480,97800,50400,0,0,9840,22320,0,0,0,0,61920,3840,0,82440,454080,0,0,0,24000,13440,0,0,0,0,0,1920,0,0,0,0,0,0,0,1080,0,0,0,0,834240,0,600480,22800,0,0,0,0,164640,0,0,0,0,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132360,206400,0,201240,293520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85200,0,0,0,0,48000,0,0,0,0,434040,0,0,0,152040,0,0,51000,0,0,0,0,0,0,0,0,0
AVBL,0,0,0,0,0,0,0,466920,0,0,0,252120,0,0,20160,133560,267960,0,1098240,299160,0,0,0,0,51480,0,0,0,0,0,0,0,0,85800,0,347880,20400,306120,26760,0,6240,0,0,0,113760,0,0,0,0,0,40920,0,0,211080,500520,0,0,0,514320,0,599760,2520,0,0,0,0,0,0,0,0,0,0,34200,0,0,0,0,87000,0,39240,425160,0,0,0,71040,0,15120,13680,0,0,20760,24240,0,21600,0,30720,106200,0,71640,0,11400,0,0,11160,197400,0,0,0,5640,1284960,1200,0,20280,0,0,0,0,64320,0,0,57360,0,0,840,0,0,0,0,0,0,374880,330600,0,0,127080,0,0,0,0,660840,0,0,0,0,136800,0,0,0,0,2760,720,0,0,0,24360,292920,202800,0,749520,0,0,42360,7920,0,0,0,88560,101400,0,0,385800,24840,0,835560,0,327480,0,0,0,550440,4200,951120,802320,0,720,0,0,0,0,421080,1393320,1006200,0,0,0,6240,0,0,453120,33120,0,110280,320760,0,0,0,0,0,0,0,5880,0
